split,count
Action & State Attribution,102
Aerial Perspective Shift,109
Atomic Counting,182
Categorical Cardinality,101
Chromatic Attribution,202
Complementary Exclusion,101
Coordinate-Prompt Region Grounding,84
Differential Comparison,100
General Semantic Attribution,101
High-Density Enumeration,100
Joint-Set Aggregation,100
Linguistic Prior Conflict,163
Material Attribution,101
Null-Target Prompting,250
Partial Object Occlusion,103
Relative Canonical Orientation,78
Scale Attribution,100
Small-Scale Enumeration,101
Visual Distractor Illusion,200
Visual-Prompt Region Grounding,102
