sample_id,role,ground_truth,condition,head_type,layer,head,baseline_text,baseline_pred,baseline_correct,ablated_text,ablated_pred,ablated_correct,prediction_changed,baseline_gt_logp,ablated_gt_logp,delta_gt_logp,baseline_margin,ablated_margin,delta_margin,hook_calls
cal50_n04_dense,correct,4,dense,candidate,33,21,4,4,True,4,4,True,False,-0.2572748064994812,-0.2305140644311905,0.02676074206829071,1.25,1.375,0.125,3
cal50_n04_dense,correct,4,dense,candidate,33,23,4,4,True,4,4,True,False,-0.2572748064994812,-0.2572682797908783,6.5267086029052734e-06,1.25,1.25,0.0,3
cal50_n04_dense,correct,4,dense,candidate,13,11,4,4,True,4,4,True,False,-0.2572748064994812,-0.2582560181617737,-0.0009812116622924805,1.25,1.25,0.0,3
cal50_n04_dense,correct,4,dense,candidate,13,10,4,4,True,4,4,True,False,-0.2572748064994812,-0.22925998270511627,0.02801482379436493,1.25,1.375,0.125,3
cal50_n04_dense,correct,4,dense,random,38,5,4,4,True,4,4,True,False,-0.2572748064994812,-0.2309150993824005,0.02635970711708069,1.25,1.375,0.125,3
cal50_n04_dense,correct,4,dense,random,3,30,4,4,True,4,4,True,False,-0.2572748064994812,-0.18518982827663422,0.07208497822284698,1.25,1.625,0.375,3
cal50_n04_dense,correct,4,dense,random,13,0,4,4,True,4,4,True,False,-0.2572748064994812,-0.10513405501842499,0.1521407514810562,1.25,2.25,1.0,3
cal50_n04_dense,correct,4,dense,random,3,19,4,4,True,4,4,True,False,-0.2572748064994812,-0.206643208861351,0.05063159763813019,1.25,1.5,0.25,3
cal50_n04_grid,correct,4,grid,candidate,33,21,4,4,True,4,4,True,False,-0.0025582939852029085,-0.002484213560819626,7.408042438328266e-05,7.125,7.125,0.0,3
cal50_n04_grid,correct,4,grid,candidate,33,23,4,4,True,4,4,True,False,-0.0025582939852029085,-0.002875956939533353,-0.00031766295433044434,7.125,7.0,-0.125,3
cal50_n04_grid,correct,4,grid,candidate,13,11,4,4,True,4,4,True,False,-0.0025582939852029085,-0.002542241709306836,1.6052275896072388e-05,7.125,7.125,0.0,3
cal50_n04_grid,correct,4,grid,candidate,13,10,4,4,True,4,4,True,False,-0.0025582939852029085,-0.0018699555657804012,0.0006883384194225073,7.125,7.5,0.375,3
cal50_n04_grid,correct,4,grid,random,38,5,4,4,True,4,4,True,False,-0.0025582939852029085,-0.002538912231102586,1.9381754100322723e-05,7.125,7.125,0.0,3
cal50_n04_grid,correct,4,grid,random,3,30,4,4,True,4,4,True,False,-0.0025582939852029085,-0.0028805925976485014,-0.0003222986124455929,7.125,7.25,0.125,3
cal50_n04_grid,correct,4,grid,random,13,0,4,4,True,4,4,True,False,-0.0025582939852029085,-0.002046516165137291,0.0005117778200656176,7.125,7.875,0.75,3
cal50_n04_grid,correct,4,grid,random,3,19,4,4,True,4,4,True,False,-0.0025582939852029085,-0.0018537732539698482,0.0007045207312330604,7.125,7.25,0.125,3
cal50_n04_row,correct,4,row,candidate,33,21,4,4,True,4,4,True,False,-0.0023228349164128304,-0.0024846892338246107,-0.00016185431741178036,6.5,6.375,-0.125,3
cal50_n04_row,correct,4,row,candidate,33,23,4,4,True,4,4,True,False,-0.0023228349164128304,-0.002620122628286481,-0.00029728771187365055,6.5,6.375,-0.125,3
cal50_n04_row,correct,4,row,candidate,13,11,4,4,True,4,4,True,False,-0.0023228349164128304,-0.0026937173679471016,-0.00037088245153427124,6.5,6.375,-0.125,3
cal50_n04_row,correct,4,row,candidate,13,10,4,4,True,4,4,True,False,-0.0023228349164128304,-0.0015286438865587115,0.0007941910298541188,6.5,7.0,0.5,3
cal50_n04_row,correct,4,row,random,38,5,4,4,True,4,4,True,False,-0.0023228349164128304,-0.002318434417247772,4.400499165058136e-06,6.5,6.5,0.0,3
cal50_n04_row,correct,4,row,random,3,30,4,4,True,4,4,True,False,-0.0023228349164128304,-0.002356254495680332,-3.341957926750183e-05,6.5,6.5,0.0,3
cal50_n04_row,correct,4,row,random,13,0,4,4,True,4,4,True,False,-0.0023228349164128304,-0.001806057756766677,0.0005167771596461535,6.5,7.0,0.5,3
cal50_n04_row,correct,4,row,random,3,19,4,4,True,4,4,True,False,-0.0023228349164128304,-0.0017394188325852156,0.0005834160838276148,6.5,6.75,0.25,3
cal50_n05_dense,stable_wrong,5,dense,candidate,33,21,5,5,True,5,5,True,False,-0.5952298641204834,-0.6518108248710632,-0.056580960750579834,0.25,0.125,-0.125,3
cal50_n05_dense,stable_wrong,5,dense,candidate,33,23,5,5,True,5,5,True,False,-0.5952298641204834,-0.595384955406189,-0.0001550912857055664,0.25,0.25,0.0,3
cal50_n05_dense,stable_wrong,5,dense,candidate,13,11,5,5,True,4,4,False,True,-0.5952298641204834,-0.7806156873703003,-0.1853858232498169,0.25,-0.125,-0.375,3
cal50_n05_dense,stable_wrong,5,dense,candidate,13,10,5,5,True,5,5,True,False,-0.5952298641204834,-0.5904572606086731,0.004772603511810303,0.25,0.25,0.0,3
cal50_n05_dense,stable_wrong,5,dense,random,38,5,5,5,True,5,5,True,False,-0.5952298641204834,-0.5948359370231628,0.00039392709732055664,0.25,0.25,0.0,3
cal50_n05_dense,stable_wrong,5,dense,random,3,30,5,5,True,4,4,False,True,-0.5952298641204834,-0.8543353080749512,-0.2591054439544678,0.25,-0.25,-0.5,3
cal50_n05_dense,stable_wrong,5,dense,random,13,0,5,5,True,5,5,True,False,-0.5952298641204834,-0.3275872766971588,0.2676425874233246,0.25,1.0,0.75,3
cal50_n05_dense,stable_wrong,5,dense,random,3,19,5,5,True,5,5,True,False,-0.5952298641204834,-0.5468763113021851,0.04835355281829834,0.25,0.375,0.125,3
cal50_n05_grid,stable_wrong,5,grid,candidate,33,21,4,4,False,4,4,False,False,-5.385134220123291,-5.633281707763672,-0.24814748764038086,-5.375,-5.625,-0.25,3
cal50_n05_grid,stable_wrong,5,grid,candidate,33,23,4,4,False,4,4,False,False,-5.385134220123291,-5.633693218231201,-0.24855899810791016,-5.375,-5.625,-0.25,3
cal50_n05_grid,stable_wrong,5,grid,candidate,13,11,4,4,False,4,4,False,False,-5.385134220123291,-5.757514953613281,-0.37238073348999023,-5.375,-5.75,-0.375,3
cal50_n05_grid,stable_wrong,5,grid,candidate,13,10,4,4,False,4,4,False,False,-5.385134220123291,-5.384069919586182,0.001064300537109375,-5.375,-5.375,0.0,3
cal50_n05_grid,stable_wrong,5,grid,random,38,5,4,4,False,4,4,False,False,-5.385134220123291,-5.3851189613342285,1.52587890625e-05,-5.375,-5.375,0.0,3
cal50_n05_grid,stable_wrong,5,grid,random,3,30,4,4,False,4,4,False,False,-5.385134220123291,-5.385367393493652,-0.00023317337036132812,-5.375,-5.375,0.0,3
cal50_n05_grid,stable_wrong,5,grid,random,13,0,4,4,False,4,4,False,False,-5.385134220123291,-4.3936028480529785,0.9915313720703125,-5.375,-4.375,1.0,3
cal50_n05_grid,stable_wrong,5,grid,random,3,19,4,4,False,4,4,False,False,-5.385134220123291,-5.508159637451172,-0.12302541732788086,-5.375,-5.5,-0.125,3
cal50_n05_random_sparse,correct,5,random_sparse,candidate,33,21,5,5,True,5,5,True,False,-0.011764314956963062,-0.012501330114901066,-0.0007370151579380035,4.875,4.75,-0.125,3
cal50_n05_random_sparse,correct,5,random_sparse,candidate,33,23,5,5,True,5,5,True,False,-0.011764314956963062,-0.012029835022985935,-0.0002655200660228729,4.875,4.875,0.0,3
cal50_n05_random_sparse,correct,5,random_sparse,candidate,13,11,5,5,True,5,5,True,False,-0.011764314956963062,-0.014640635810792446,-0.002876320853829384,4.875,4.625,-0.25,3
cal50_n05_random_sparse,correct,5,random_sparse,candidate,13,10,5,5,True,5,5,True,False,-0.011764314956963062,-0.009711284190416336,0.0020530307665467262,4.875,5.0,0.125,3
cal50_n05_random_sparse,correct,5,random_sparse,random,38,5,5,5,True,5,5,True,False,-0.011764314956963062,-0.01172684971243143,3.746524453163147e-05,4.875,4.875,0.0,3
cal50_n05_random_sparse,correct,5,random_sparse,random,3,30,5,5,True,5,5,True,False,-0.011764314956963062,-0.015050897374749184,-0.0032865824177861214,4.875,4.625,-0.25,3
cal50_n05_random_sparse,correct,5,random_sparse,random,13,0,5,5,True,5,5,True,False,-0.011764314956963062,-0.011236599646508694,0.0005277153104543686,4.875,4.875,0.0,3
cal50_n05_random_sparse,correct,5,random_sparse,random,3,19,5,5,True,5,5,True,False,-0.011764314956963062,-0.011935249902307987,-0.00017093494534492493,4.875,4.875,0.0,3
cal50_n05_row,stable_wrong,5,row,candidate,33,21,4,4,False,4,4,False,False,-7.6286301612854,-7.753298282623291,-0.12466812133789062,-7.625,-7.75,-0.125,3
cal50_n05_row,stable_wrong,5,row,candidate,33,23,4,4,False,4,4,False,False,-7.6286301612854,-7.628637790679932,-7.62939453125e-06,-7.625,-7.625,0.0,3
cal50_n05_row,stable_wrong,5,row,candidate,13,11,4,4,False,4,4,False,False,-7.6286301612854,-7.878309726715088,-0.2496795654296875,-7.625,-7.875,-0.25,3
cal50_n05_row,stable_wrong,5,row,candidate,13,10,4,4,False,4,4,False,False,-7.6286301612854,-7.628109455108643,0.0005207061767578125,-7.625,-7.625,0.0,3
cal50_n05_row,stable_wrong,5,row,random,38,5,4,4,False,4,4,False,False,-7.6286301612854,-7.628566741943359,6.341934204101562e-05,-7.625,-7.625,0.0,3
cal50_n05_row,stable_wrong,5,row,random,3,30,4,4,False,4,4,False,False,-7.6286301612854,-7.879006862640381,-0.25037670135498047,-7.625,-7.875,-0.25,3
cal50_n05_row,stable_wrong,5,row,random,13,0,4,4,False,4,4,False,False,-7.6286301612854,-6.754922866821289,0.8737072944641113,-7.625,-6.75,0.875,3
cal50_n05_row,stable_wrong,5,row,random,3,19,4,4,False,4,4,False,False,-7.6286301612854,-7.7535080909729,-0.1248779296875,-7.625,-7.75,-0.125,3
cal50_n06_random_sparse,unstable_wrong,6,random_sparse,candidate,33,21,5,5,False,5,5,False,False,-1.159827709197998,-1.3331753015518188,-0.1733475923538208,-0.75,-1.0,-0.25,3
cal50_n06_random_sparse,unstable_wrong,6,random_sparse,candidate,33,23,5,5,False,5,5,False,False,-1.159827709197998,-1.2455830574035645,-0.0857553482055664,-0.75,-0.875,-0.125,3
cal50_n06_random_sparse,unstable_wrong,6,random_sparse,candidate,13,11,5,5,False,5,5,False,False,-1.159827709197998,-1.3361810445785522,-0.1763533353805542,-0.75,-1.0,-0.25,3
cal50_n06_random_sparse,unstable_wrong,6,random_sparse,candidate,13,10,5,5,False,5,5,False,False,-1.159827709197998,-0.9159253239631653,0.24390238523483276,-0.75,-0.375,0.375,3
cal50_n06_random_sparse,unstable_wrong,6,random_sparse,random,38,5,5,5,False,5,5,False,False,-1.159827709197998,-1.1598219871520996,5.7220458984375e-06,-0.75,-0.75,0.0,3
cal50_n06_random_sparse,unstable_wrong,6,random_sparse,random,3,30,5,5,False,5,5,False,False,-1.159827709197998,-1.6249035596847534,-0.46507585048675537,-0.75,-1.375,-0.625,3
cal50_n06_random_sparse,unstable_wrong,6,random_sparse,random,13,0,5,5,False,5,5,False,False,-1.159827709197998,-0.7825784683227539,0.37724924087524414,-0.75,-0.125,0.625,3
cal50_n06_random_sparse,unstable_wrong,6,random_sparse,random,3,19,5,5,False,5,5,False,False,-1.159827709197998,-0.9252872467041016,0.23454046249389648,-0.75,-0.375,0.375,3
cal50_n07_grid,correct,7,grid,candidate,33,21,7,7,True,7,7,True,False,-0.12457508593797684,-0.12695850431919098,-0.002383418381214142,2.375,2.375,0.0,3
cal50_n07_grid,correct,7,grid,candidate,33,23,7,7,True,7,7,True,False,-0.12457508593797684,-0.14208433032035828,-0.01750924438238144,2.375,2.25,-0.125,3
cal50_n07_grid,correct,7,grid,candidate,13,11,7,7,True,7,7,True,False,-0.12457508593797684,-0.12518785893917084,-0.0006127730011940002,2.375,2.375,0.0,3
cal50_n07_grid,correct,7,grid,candidate,13,10,7,7,True,7,7,True,False,-0.12457508593797684,-0.0836108848452568,0.04096420109272003,2.375,2.875,0.5,3
cal50_n07_grid,correct,7,grid,random,38,5,7,7,True,7,7,True,False,-0.12457508593797684,-0.14092400670051575,-0.01634892076253891,2.375,2.25,-0.125,3
cal50_n07_grid,correct,7,grid,random,3,30,7,7,True,7,7,True,False,-0.12457508593797684,-0.15442149341106415,-0.02984640747308731,2.375,2.125,-0.25,3
cal50_n07_grid,correct,7,grid,random,13,0,7,7,True,7,7,True,False,-0.12457508593797684,-0.07643410563468933,0.048140980303287506,2.375,3.125,0.75,3
cal50_n07_grid,correct,7,grid,random,3,19,7,7,True,7,7,True,False,-0.12457508593797684,-0.08949563652276993,0.03507944941520691,2.375,2.875,0.5,3
cal50_n08_grid,unstable_wrong,8,grid,candidate,33,21,7,7,False,7,7,False,False,-2.266955852508545,-2.379185199737549,-0.1122293472290039,-2.125,-2.25,-0.125,3
cal50_n08_grid,unstable_wrong,8,grid,candidate,33,23,7,7,False,7,7,False,False,-2.266955852508545,-2.4936282634735107,-0.22667241096496582,-2.125,-2.375,-0.25,3
cal50_n08_grid,unstable_wrong,8,grid,candidate,13,11,7,7,False,7,7,False,False,-2.266955852508545,-2.6079933643341064,-0.3410375118255615,-2.125,-2.5,-0.375,3
cal50_n08_grid,unstable_wrong,8,grid,candidate,13,10,7,7,False,7,7,False,False,-2.266955852508545,-2.1538867950439453,0.11306905746459961,-2.125,-2.0,0.125,3
