layer,head,n_pairs,mean_effect_wrong,mean_effect_correct,mean_interaction_logp,median_interaction_logp,negative_fraction,mean_abs_interaction
3,0,3,-0.0823757251103719,0.016837202866251268,-0.09921292797662318,-0.0488671809434891,0.6666666666666666,0.09929798659868538
3,1,3,-0.15068986018498737,0.008523458071673934,-0.15921331825666132,-0.250164536992088,0.6666666666666666,0.17509378376416862
3,2,3,-0.30073245366414386,-0.010556605178862767,-0.29017584848528105,-0.2503601936623455,1.0,0.29017584848528105
3,3,3,0.020254492759704572,0.0237649508441488,-0.0035104580844442326,0.0005132358055561,0.3333333333333333,0.07984536839649077
3,4,3,-0.6775197982788086,-0.02318832542126373,-0.6543314728575448,-0.6211979831568897,1.0,0.6543314728575448
3,5,3,0.09268736839294428,0.01714557673161227,0.07554179166133201,0.10040342807769771,0.3333333333333333,0.07557721948251124
3,6,3,-0.332512100537618,-0.03216352996726825,-0.30034857057034975,-0.24822375108487896,1.0,0.30034857057034975
3,7,3,-0.1432887117067973,-0.00013912321689227213,-0.14314958848990503,-0.1824781000614166,0.6666666666666666,0.14434224514601132
3,8,3,-0.06644598642985024,0.016787758252272984,-0.08323374468212323,-0.1245887011755258,0.6666666666666666,0.08328618683541816
3,9,3,-0.09076521794001256,-9.316904470319999e-05,-0.09067204889530935,-0.1243779535870999,0.6666666666666666,0.15913479821756474
3,10,3,-0.061446825663248696,-0.010209953257193134,-0.05123687240605557,-0.029625475406646798,0.6666666666666666,0.0516779612128933
3,11,3,-0.5091621279716492,-0.0098770356271416,-0.4992850923445075,-0.37557515921071166,1.0,0.4992850923445076
3,12,3,-0.1089771787325541,0.008537951856851566,-0.11751513058940566,-0.12553661200217897,0.6666666666666666,0.13322010015447935
3,13,3,-0.08645625909169509,0.01639040660423539,-0.10284666569593048,-0.12526681832969191,1.0,0.10284666569593048
3,14,3,-0.1851589481035868,-0.04538110713474455,-0.13977784096884224,-0.12605312117375433,1.0,0.13977784096884224
3,15,3,0.09046600262324016,0.03639024007134136,0.0540757625518988,0.03812609612941749,0.3333333333333333,0.05440255153613786
3,16,3,-0.10617005825042723,-0.020679482879737966,-0.08549057537068927,-0.1233475853223354,0.6666666666666666,0.16264284743616977
3,17,3,-0.18731421232223508,-0.033823948353528935,-0.15349026396870613,-0.1234415010549128,0.6666666666666666,0.1787190027534962
