domain,policy,alpha,count,fraction
v3_confirmation,original,0.0,24,0.012
v3_confirmation,original,1.0,1347,0.6735
v3_confirmation,original,1.5,32,0.016
v3_confirmation,original,2.0,63,0.0315
v3_confirmation,original,4.0,534,0.267
v3_confirmation,spuc_v1,0.0,27,0.0135
v3_confirmation,spuc_v1,1.0,1344,0.672
v3_confirmation,spuc_v1,1.5,33,0.0165
v3_confirmation,spuc_v1,2.0,63,0.0315
v3_confirmation,spuc_v1,4.0,533,0.2665
tallyqa_posthoc_development,original,0.0,782,0.1955
tallyqa_posthoc_development,original,1.0,1389,0.34725
tallyqa_posthoc_development,original,1.5,526,0.1315
tallyqa_posthoc_development,original,2.0,44,0.011
tallyqa_posthoc_development,original,4.0,1259,0.31475
tallyqa_posthoc_development,spuc_v1,0.0,758,0.1895
tallyqa_posthoc_development,spuc_v1,1.0,1469,0.36725
tallyqa_posthoc_development,spuc_v1,1.5,1007,0.25175
tallyqa_posthoc_development,spuc_v1,2.0,108,0.027
tallyqa_posthoc_development,spuc_v1,4.0,658,0.1645
