domain,feature,z_lower,z_upper,n_low_clipped,n_high_clipped,n_any_clipped,fraction_any_clipped,raw_z_abs_max,projected_z_abs_max,mean_abs_projection_change
v3_confirmation,baseline_best_numeral,-1.6492566344173407,2.5926585775614166,0,0,0,0.0,2.5926585775614166,2.5926585775614166,0.0
v3_confirmation,baseline_entropy,-0.8255883801740448,3.287127929932673,0,7,7,0.0035,3.730608368797533,3.287127929932673,0.0008526290770022296
v3_confirmation,baseline_entropy_norm,-0.8255883801740443,3.287127929932673,0,7,7,0.0035,3.7306083687975335,3.287127929932673,0.0008526290770022305
v3_confirmation,baseline_expected_numeral,-1.6590903848471743,2.561867522353497,1,2,3,0.0015,2.7099034166251768,2.561867522353497,0.00011166062661257336
v3_confirmation,baseline_top1_prob,-4.065752212272464,0.6685333329124725,0,0,0,0.0,3.3940568955526422,3.3940568955526422,0.0
v3_confirmation,baseline_conditional_margin,-2.9898148696894853,0.6663549823911035,0,0,0,0.0,2.9898148696894853,2.9898148696894853,0.0
v3_confirmation,baseline_vocab_numeral_mass,-7.670890690444909,0.6701312904831004,2,2,4,0.002,9.612141723168147,7.670890690444909,0.0009760842801393345
v3_confirmation,baseline_numprob_0,-0.0889941435558226,23.425656971890557,1,1,2,0.001,23.425996827819784,23.425656971890557,1.8617628461852636e-07
v3_confirmation,baseline_numprob_1,-0.3381887318845166,2.98441342386307,12,0,12,0.006,2.9844114237242616,2.9844114237242616,3.176143586719471e-09
v3_confirmation,baseline_numprob_2,-0.3587756868061935,2.849498960548587,7,1,8,0.004,2.8495043731472207,2.849498960548587,3.2143387928840195e-09
v3_confirmation,baseline_numprob_3,-0.3531341515394198,3.0530860679048084,3,3,6,0.003,3.053120070563834,3.0530860679048084,3.3065713431229547e-08
v3_confirmation,baseline_numprob_4,-0.3803671705679612,2.9577652718848237,2,3,5,0.0025,2.9580367484399317,2.9577652718848237,2.585140371416661e-07
v3_confirmation,baseline_numprob_5,-0.3700727523889267,3.2751911781306564,1,2,3,0.0015,3.276362698932573,3.2751911781306564,7.893141721483088e-07
v3_confirmation,baseline_numprob_6,-0.4927020187522719,2.4244242192620318,4,0,4,0.002,2.4241577394856355,2.4241577394856355,7.247813485489196e-11
v3_confirmation,baseline_numprob_7,-0.4704111593528798,2.721538242552106,1,2,3,0.0015,2.722971606867314,2.721538242552106,1.24201486047254e-06
v3_confirmation,baseline_numprob_8,-0.4139281685690077,3.2674574815693105,1,0,1,0.0005,3.2608770234740674,3.2608770234740674,2.3453803343898017e-12
v3_confirmation,baseline_numprob_9,-0.2479389040834854,6.543592614271351,1,9,10,0.005,7.408579252378859,6.543592614271351,0.001914550630387101
v3_confirmation,baseline_numprob_10,-0.1304395507224813,14.05797976434379,0,0,0,0.0,13.49289896796665,13.49289896796665,0.0
v3_confirmation,baseline_numprob_11,-0.0733527354875782,20.99135874452137,0,0,0,0.0,19.195438033585965,19.195438033585965,0.0
v3_confirmation,baseline_numprob_12,-0.0495662499962673,29.39301076555181,0,4,4,0.002,60.23389024615755,29.39301076555181,0.028000657549299056
v3_confirmation,baseline_numprob_13,-0.0502446901382875,29.661870704799345,1,5,6,0.003,212.28595830498932,29.661870704799345,0.13791633923245317
v3_confirmation,baseline_numprob_14,-0.0953905542244125,28.84420886122841,1,4,5,0.0025,362.8849420930066,28.84420886122841,0.22424864516334736
v3_confirmation,baseline_numprob_15,-0.7241756491090164,10.100862003138817,0,5,5,0.0025,135.15162941762978,10.100862003138817,0.09061261965925273
v3_confirmation,geom_top2_prob,-0.6597325371949198,3.093758778722447,0,5,5,0.0025,3.0951737115469347,3.093758778722447,1.7716917560179902e-06
v3_confirmation,geom_expected_minus_pred,-3.145602062194039,6.215979237142206,7,0,7,0.0035,3.5129153380389884,3.145602062194039,0.000263268904673376
v3_confirmation,geom_p_down1,-0.3971890847590052,4.6317227323278285,2,0,2,0.001,4.631651855387976,4.631651855387976,9.087816750241729e-10
v3_confirmation,geom_p_up1,-0.4928701767006723,3.951178916796997,0,5,5,0.0025,3.9528541574281824,3.951178916796997,2.0976331626856302e-06
v3_confirmation,geom_p_down2,-0.1316796703292279,23.34747854507326,202,6,6,0.003,49.90614760009336,23.34747854507326,0.041183831329094665
v3_confirmation,geom_p_up2,-0.1011005490593944,28.61527049458644,5,0,5,0.0025,6.626200200435939,6.626200200435939,3.276463434537247e-09
