original_alpha,spuc_alpha,n,original_correct,spuc_correct,delta_correct,improved_samples,worsened_samples
0.0,0.0,743,702,702,0,0,0
0.0,1.0,36,30,30,0,0,0
0.0,1.5,1,1,1,0,0,0
0.0,2.0,1,0,0,0,0,0
0.0,4.0,1,1,1,0,0,0
1.0,1.0,1364,844,844,0,0,0
1.0,1.5,11,4,4,0,0,0
1.0,2.0,13,1,1,0,0,0
1.0,4.0,1,0,0,0,0,0
1.5,1.5,522,164,164,0,0,0
1.5,2.0,3,0,0,0,0,0
1.5,4.0,1,1,1,0,0,0
2.0,1.0,2,1,1,0,0,0
2.0,2.0,38,7,7,0,0,0
2.0,4.0,4,1,1,0,0,0
4.0,0.0,15,7,6,-1,0,1
4.0,1.0,67,7,15,8,10,2
4.0,1.5,473,273,266,-7,9,16
4.0,2.0,53,6,6,0,3,3
4.0,4.0,651,425,425,0,0,0
