policy,score_bin,n,mean_score,mean_realized_utility,positive_utility,negative_utility,net_utility
original,<=0,532,-0.08691949984574787,0.0,0,0,0
original,"(0,.05]",326,0.02718823921110738,0.0,0,0,0
original,"(.05,.10]",531,0.07763721520362388,0.0,0,0,0
original,"(.10,.20]",929,0.1412451630450841,-0.02906350914962325,7,34,-27
original,"(.20,.40]",427,0.27754798892450544,-0.1288056206088993,8,63,-55
original,"(.40,1]",211,0.6162326245494861,-0.09004739336492891,4,23,-19
original,>1,1044,455.4931733583385,-0.017241379310344827,32,50,-18
spuc_v1,<=0,582,-0.14701795353717498,0.0,0,0,0
spuc_v1,"(0,.05]",333,0.027302253449482342,0.0,0,0,0
spuc_v1,"(.05,.10]",554,0.07782811126798578,0.0,0,0,0
spuc_v1,"(.10,.20]",987,0.14080867883528347,-0.02634245187436677,7,33,-26
spuc_v1,"(.20,.40]",413,0.2755430183869525,-0.13801452784503632,10,67,-57
spuc_v1,"(.40,1]",347,0.6573388181993114,-0.04899135446685879,9,26,-17
spuc_v1,>1,784,11.080090433457547,-0.02423469387755102,6,25,-19
