role,oracle_head,wins,mean_best_delta_logp,mean_best_delta_margin
correct,L8H30,6,0.02466038831820085,0.125
correct,L18H13,6,0.009858227761772743,0.10416666666666667
correct,L3H4,4,0.022032116539776277,0.09375
correct,L3H11,4,0.004452619177754925,0.0
correct,L33H1,3,0.009609205027421266,0.041666666666666664
correct,L33H21,3,-0.0006824207181731747,0.0
correct,L13H11,1,0.0013726949691772,0.0
wrong,L8H30,6,0.05205349127451577,0.041666666666666664
wrong,L3H4,5,0.15675902366638178,0.175
wrong,L18H13,5,0.13364646434783933,0.15
wrong,L13H11,4,0.07284665107727048,0.078125
wrong,L3H11,3,0.11837279796600342,0.125
wrong,L33H1,3,0.0068739255269368305,0.0
wrong,L33H21,1,0.0858621597290039,0.125
