sample_id,ground_truth,condition,replicate,layer,head,head_name,alpha,baseline_best_numeral,modulated_best_numeral,baseline_correct,modulated_correct,baseline_gt_logp,modulated_gt_logp,delta_gt_logp,baseline_margin,modulated_margin,delta_margin,baseline_entropy,modulated_entropy,delta_entropy,baseline_entropy_norm,modulated_entropy_norm,delta_entropy_norm,baseline_expected_numeral,modulated_expected_numeral,response_expected_numeral_shift,baseline_top1_prob,modulated_top1_prob,baseline_conditional_margin,modulated_conditional_margin,baseline_vocab_numeral_mass,modulated_vocab_numeral_mass,delta_vocab_numeral_mass,response_l1,response_l2,response_tv,response_js,numeral_changed,hook_calls,baseline_numprob_1,modulated_numprob_1,delta_numprob_1,baseline_numprob_2,modulated_numprob_2,delta_numprob_2,baseline_numprob_3,modulated_numprob_3,delta_numprob_3,baseline_numprob_4,modulated_numprob_4,delta_numprob_4,baseline_numprob_5,modulated_numprob_5,delta_numprob_5,baseline_numprob_6,modulated_numprob_6,delta_numprob_6,baseline_numprob_7,modulated_numprob_7,delta_numprob_7,baseline_numprob_8,modulated_numprob_8,delta_numprob_8,baseline_numprob_9,modulated_numprob_9,delta_numprob_9,baseline_numprob_10,modulated_numprob_10,delta_numprob_10
pccv1_n01_dense_r00,1,dense,0,18,13,L18H13,1.0,1,1,True,True,-0.0026291587855666876,-0.0026291587855666876,0.0,13.0,13.0,0.0,6.971660439026476e-05,6.971660439026476e-05,0.0,3.0277536583724002e-05,3.0277536583724002e-05,0.0,1.0000117660258137,1.0000117660258137,0.0,0.9999953151282556,0.9999953151282556,0.9999930548094379,0.9999930548094379,0.9973789687809607,0.9973789687809607,0.0,0.0,0.0,0.0,0.0,False,0,0.9999953151282556,0.9999953151282556,0.0,2.2603188176276825e-06,2.2603188176276825e-06,0.0,7.81145281247848e-07,7.81145281247848e-07,0.0,3.927845143944099e-07,3.927845143944099e-07,0.0,3.6898690369295634e-07,3.6898690369295634e-07,0.0,4.737885627666678e-07,4.737885627666678e-07,0.0,1.975044571754909e-07,1.975044571754909e-07,0.0,4.6911420443326434e-08,4.6911420443326434e-08,0.0,6.412030933629465e-08,6.412030933629465e-08,0.0,9.931147785784623e-08,9.931147785784623e-08,0.0
pccv1_n01_dense_r00,1,dense,0,18,13,L18H13,0.5,1,1,True,True,-0.0026291587855666876,-0.003161315806210041,-0.0005321570206433535,13.0,12.9375,-0.0625,6.971660439026476e-05,7.535679469359128e-05,5.640190303326517e-06,3.0277536583724002e-05,3.272704010934294e-05,2.4495035256189354e-06,1.0000117660258137,1.0000129138836378,1.1478578241241877e-06,0.9999953151282556,0.9999949123849141,0.9999930548094379,0.9999925062890264,0.9973789687809607,0.9968487672231241,-0.0005302015578365626,8.054866828354478e-07,4.4711010132521833e-07,4.027433414177239e-07,4.66839397978171e-09,False,1,0.9999953151282556,0.9999949123849141,-4.027433414544035e-07,2.2603188176276825e-06,2.4060958877084077e-06,1.457770700807252e-07,7.81145281247848e-07,8.851532105750745e-07,1.0400792932722645e-07,3.927845143944099e-07,4.181167707269894e-07,2.53322563325795e-08,3.6898690369295634e-07,3.92784356202321e-07,2.379745250936465e-08,4.737885627666678e-07,5.368725607568555e-07,6.308399799018766e-08,1.975044571754909e-07,2.102423156007662e-07,1.2737858425275317e-08,4.6911420443326434e-08,5.315758209755168e-08,6.246161654225243e-09,6.412030933629465e-08,7.265780007199459e-08,8.537490735699939e-09,9.931147785784623e-08,1.1253460218360652e-07,1.3223124325760294e-08
pccv1_n01_dense_r00,1,dense,0,18,13,L18H13,1.5,1,1,True,True,-0.0026291587855666876,-0.002837443258613348,-0.00020828447304666042,13.0,13.125,0.125,6.971660439026476e-05,6.390874068296296e-05,-5.807863707301799e-06,3.0277536583724002e-05,2.7755213423996667e-05,-2.5223231597273347e-06,1.0000117660258137,1.0000108570671071,-9.089587065247429e-07,0.9999953151282556,0.9999957388583433,0.9999930548094379,0.9999937441331426,0.9973789687809607,0.9971708230876395,-0.00020814569332117117,8.474601755390159e-07,5.04792062512199e-07,4.2373008776950793e-07,5.563541464370969e-09,False,1,0.9999953151282556,0.9999957388583433,4.2373008768414877e-07,2.2603188176276825e-06,1.994725200638791e-06,-2.6559361698889167e-07,7.81145281247848e-07,7.338183921015914e-07,-4.732688914625663e-08,3.927845143944099e-07,3.6898706004454186e-07,-2.3797454349868035e-08,3.6898690369295634e-07,3.46631264214983e-07,-2.235563947797334e-08,4.737885627666678e-07,4.4508335347064216e-07,-2.8705209296025662e-08,1.975044571754909e-07,1.7429714555928205e-07,-2.320731161620884e-08,4.6911420443326434e-08,4.4069219833129936e-08,-2.8422006101964976e-09,6.412030933629465e-08,6.023548170585076e-08,-3.884827630443889e-09,9.931147785784623e-08,9.32945391188437e-08,-6.016938739002531e-09
pccv1_n01_dense_r01,1,dense,1,18,13,L18H13,1.0,1,1,True,True,-0.0014618673594668508,-0.0014618673594668508,0.0,13.625,13.625,0.0,3.2337700641907385e-05,3.2337700641907385e-05,0.0,1.404408494621962e-05,1.404408494621962e-05,0.0,1.000004649673229,1.000004649673229,0.0,0.999997914094416,0.999997914094416,0.9999967042297924,0.9999967042297924,0.9985412922286798,0.9985412922286798,0.0,0.0,0.0,0.0,0.0,False,0,0.999997914094416,0.999997914094416,0.0,1.2098646236355228e-06,1.2098646236355228e-06,0.0,3.059016824184673e-07,3.059016824184673e-07,0.0,1.2751879315601593e-07,1.2751879315601593e-07,0.0,1.2751879315601593e-07,1.2751879315601593e-07,0.0,1.5381702567444354e-07,1.5381702567444354e-07,0.0,7.734405773867719e-08,7.734405773867719e-08,0.0,1.6212195230498727e-08,1.6212195230498727e-08,0.0,2.0816870736264145e-08,2.0816870736264145e-08,0.0,4.691154236509189e-08,4.691154236509189e-08,0.0
pccv1_n01_dense_r01,1,dense,1,18,13,L18H13,0.5,1,1,True,True,-0.0014618673594668508,-0.0016800350276753306,-0.00021816766820847988,13.625,13.5625,-0.0625,3.2337700641907385e-05,3.415422205427301e-05,1.8165214123656265e-06,1.404408494621962e-05,1.4832990171869114e-05,7.88905225649493e-07,1.000004649673229,1.0000049166537446,2.669805154731364e-07,0.999997914094416,0.9999977877895987,0.9999967042297924,0.9999964998955735,0.9985412922286798,0.998323562891084,-0.0002177293375957845,2.526096665053351e-07,1.5044503300245632e-07,1.2630483325266754e-07,9.865959361648706e-10,False,1,0.999997914094416,0.9999977877895987,-1.2630481727171627e-07,1.2098646236355228e-06,1.287894025233176e-06,7.802940159765307e-08,3.059016824184673e-07,3.256306047793042e-07,1.972892236083692e-08,1.2751879315601593e-07,1.3574303157743491e-07,8.22423842141898e-09,1.2751879315601593e-07,1.2751877704974445e-07,-1.6106271485050164e-14,1.5381702567444354e-07,1.6373735083680934e-07,9.9203251623658e-09,7.734405773867719e-08,8.233231049405442e-08,4.988252755377238e-09,1.6212195230498727e-08,1.7257789810013634e-08,1.0455945795149066e-09,2.0816870736264145e-08,2.2159440751912214e-08,1.3425700156480696e-09,4.691154236509189e-08,4.99370705996242e-08,3.025528234532311e-09
pccv1_n01_dense_r01,1,dense,1,18,13,L18H13,1.5,1,1,True,True,-0.0014618673594668508,-0.001257344032637775,0.0002045233268290758,13.625,13.6875,0.0625,3.2337700641907385e-05,3.0274834411264308e-05,-2.0628662306430775e-06,1.404408494621962e-05,1.3148193525346771e-05,-8.958914208728496e-07,1.000004649673229,1.0000042965824085,-3.5309082058176955e-07,0.999997914094416,0.9999980542403332,0.9999967042297924,0.9999969176775422,0.9985412922286798,0.9987454178020476,0.00020412557336779713,2.802918342134775e-07,1.6071363049264334e-07,1.4014591710673876e-07,1.3165139860768977e-09,False,1,0.999997914094416,0.9999980542403332,1.4014591720457048e-07,1.2098646236355228e-06,1.1365627909640643e-06,-7.330183267145856e-08,3.059016824184673e-07,2.873680766740686e-07,-1.8533605744398702e-08,1.2751879315601593e-07,1.197928368334807e-07,-7.725956322535242e-09,1.2751879315601593e-07,1.1253495575285505e-07,-1.4983837403160884e-08,1.5381702567444354e-07,1.4449774345249625e-07,-9.319282221947298e-09,7.734405773867719e-08,6.825590095351119e-08,-9.088156785165997e-09,1.6212195230498727e-08,1.4307214080113419e-08,-1.9049811503853083e-09,2.0816870736264145e-08,1.8370826520858357e-08,-2.4460442154057873e-09,4.691154236509189e-08,4.406932187064265e-08,-2.84222049444924e-09
pccv1_n01_dense_r02,1,dense,2,18,13,L18H13,1.0,1,1,True,True,-0.0024434253573417664,-0.0024434253573417664,0.0,13.625,13.625,0.0,3.8416009811206494e-05,3.8416009811206494e-05,0.0,1.6683861077748163e-05,1.6683861077748163e-05,0.0,1.000006409864967,1.000006409864967,0.0,0.9999975259390227,0.9999975259390227,0.9999963160748687,0.9999963160748687,0.9975620154536298,0.9975620154536298,0.0,0.0,0.0,0.0,0.0,False,0,0.9999975259390227,0.9999975259390227,0.0,1.2098641540190644e-06,1.2098641540190644e-06,0.0,3.927853827707117e-07,3.927853827707117e-07,0.0,1.6373730796199486e-07,1.6373730796199486e-07,0.0,1.97504893822517e-07,1.97504893822517e-07,0.0,2.5360130358832554e-07,2.5360130358832554e-07,0.0,1.1979277354664485e-07,1.1979277354664485e-07,0.0,2.5109929433789566e-08,2.5109929433789566e-08,0.0,3.432120425030024e-08,3.432120425030024e-08,0.0,7.734402771710141e-08,7.734402771710141e-08,0.0
pccv1_n01_dense_r02,1,dense,2,18,13,L18H13,0.5,1,1,True,True,-0.0024434253573417664,-0.0034899539314210415,-0.0010465285740792751,13.625,13.4375,-0.1875,3.8416009811206494e-05,4.473017677855387e-05,6.314166967347379e-06,1.6683861077748163e-05,1.9426068949482917e-05,2.7422078717347537e-06,1.000006409864967,1.0000074620084027,1.0521434357091408e-06,0.9999975259390227,0.9999970849151875,0.9999963160748687,0.9999956255410908,0.9975620154536298,0.996519013450337,-0.00104300200329277,8.820476707294187e-07,5.133374475529694e-07,4.4102383536470936e-07,9.339438948923253e-09,False,1,0.9999975259390227,0.9999970849151875,-4.410238352292595e-07,1.2098641540190644e-06,1.4593740966472825e-06,2.4950994262821804e-07,3.927853827707117e-07,4.450839525806892e-07,5.229856980997749e-08,1.6373730796199486e-07,1.855385953992796e-07,2.1801287437284736e-08,1.97504893822517e-07,2.3823627226921825e-07,4.073137844670124e-08,2.5360130358832554e-07,2.8736779812042375e-07,3.3766494532098214e-08,1.1979277354664485e-07,1.444976033869275e-07,2.4704829840282648e-08,2.5109929433789566e-08,2.8453265145911118e-08,3.3433357121215527e-09,3.432120425030024e-08,3.889100235170929e-08,4.56979810140905e-09,7.734402771710141e-08,8.764222670916759e-08,1.0298198992066171e-08
pccv1_n01_dense_r02,1,dense,2,18,13,L18H13,1.5,1,1,True,True,-0.0024434253573417664,-0.0024590035900473595,-1.557823270559311e-05,13.625,13.6875,0.0625,3.8416009811206494e-05,3.692390245673186e-05,-1.492107354474633e-06,1.6683861077748163e-05,1.6035847087292568e-05,-6.48013990455595e-07,1.000006409864967,1.0000062195093233,-1.9035564369218605e-07,0.9999975259390227,0.9999976313251879,0.9999963160748687,0.9999964947628777,0.9975620154536298,0.9975463534751121,-1.566197851765594e-05,2.1077248538414105e-07,1.3066877336194304e-07,1.0538624269207053e-07,8.231960425502491e-10,False,1,0.9999975259390227,0.9999976313251879,1.0538616523891875e-07,1.2098641540190644e-06,1.1365623102935112e-06,-7.330184372555319e-08,3.927853827707117e-07,3.6898775834329466e-07,-2.379762442741706e-08,1.6373730796199486e-07,1.6373732521768455e-07,1.7255689688760092e-14,1.97504893822517e-07,1.9750491463685189e-07,2.081433487459242e-14,2.5360130358832554e-07,2.536013303144605e-07,2.6726134970216347e-14,1.1979277354664485e-07,1.197927861711771e-07,1.2624532258617097e-14,2.5109929433789566e-08,2.3588598202344297e-08,-1.5213312314452682e-09,3.432120425030024e-08,3.22417910020682e-08,-2.0794132482320422e-09,7.734402771710141e-08,7.265799762521849e-08,-4.686030091882927e-09
pccv1_n01_dense_r03,1,dense,3,18,13,L18H13,1.0,1,1,True,True,-0.0019714459776878357,-0.0019714459776878357,0.0,13.5625,13.5625,0.0,3.669368046259966e-05,3.669368046259966e-05,0.0,1.5935862945628193e-05,1.5935862945628193e-05,0.0,1.0000057233339352,1.0000057233339352,0.0,0.9999976282995325,0.9999976282995325,0.9999963404057127,0.9999963404057127,0.9980328507578093,0.9980328507578093,0.0,0.0,0.0,0.0,0.0,False,0,0.9999976282995325,0.9999976282995325,0.0,1.2878938198264184e-06,1.2878938198264184e-06,0.0,3.4663191915716193e-07,3.4663191915716193e-07,0.0,1.5381698171423294e-07,1.5381698171423294e-07,0.0,1.6373732472227065e-07,1.6373732472227065e-07,0.0,1.8553869621834163e-07,1.8553869621834163e-07,0.0,1.1253490781953263e-07,1.1253490781953263e-07,0.0,2.2159437217693725e-08,2.2159437217693725e-08,0.0,2.6729383482127266e-08,2.6729383482127266e-08,0.0,7.26579974053799e-08,7.26579974053799e-08,0.0
