ridge_alpha,threshold,repairs,breaks,net_repairs,post_accuracy,interventions,intervention_rate,mcnemar_exact_p
0.01,0.1,91,8,83,0.586,333,0.333,5.90963701961033e-19
100.0,0.1,88,6,82,0.585,294,0.294,8.807936656038951e-20
0.1,0.1,91,9,82,0.585,334,0.334,3.322048979453653e-18
10.0,0.1,91,11,80,0.583,334,0.334,7.966829650936098e-17
1.0,0.1,91,11,80,0.583,336,0.336,7.966829650936098e-17
100.0,0.05,92,14,78,0.581,481,0.481,3.0602379412652396e-15
10.0,0.05,94,16,78,0.581,528,0.528,1.2897655647164698e-14
0.01,0.05,92,16,76,0.579,534,0.534,3.77738189059387e-14
0.1,0.05,92,17,75,0.578,538,0.538,1.2265535543318512e-13
1.0,0.05,93,18,75,0.578,535,0.535,2.2601502838438823e-13
100.0,0.02,95,21,74,0.577,694,0.694,1.972638273199072e-12
10.0,0.02,97,23,74,0.577,716,0.716,5.263609792233504e-12
0.1,0.02,94,21,73,0.576,727,0.727,3.240204200619262e-12
0.01,0.005,95,22,73,0.576,775,0.775,5.3144029909432085e-12
10.0,0.01,97,24,73,0.576,753,0.753,1.3442945758766522e-11
10.0,0.005,97,24,73,0.576,767,0.767,1.3442945758766522e-11
1.0,0.005,97,24,73,0.576,774,0.774,1.3442945758766522e-11
1.0,0.0,97,24,73,0.576,787,0.787,1.3442945758766522e-11
10.0,0.0,98,25,73,0.576,783,0.783,2.078916997942999e-11
0.1,0.01,94,22,72,0.575,759,0.759,8.656167708687345e-12
0.01,0.01,94,22,72,0.575,760,0.76,8.656167708687345e-12
1.0,0.02,95,23,72,0.575,727,0.727,1.3814108903466338e-11
1.0,0.01,95,23,72,0.575,760,0.76,1.3814108903466338e-11
0.1,0.005,95,23,72,0.575,773,0.773,1.3814108903466338e-11
0.1,0.0,96,24,72,0.575,787,0.787,2.162228172529954e-11
100.0,0.0,97,25,72,0.575,778,0.778,3.3236938797776425e-11
0.01,0.02,92,21,71,0.574,725,0.725,8.693348236202687e-12
100.0,0.01,95,24,71,0.574,739,0.739,3.4709219271752364e-11
0.01,0.0,95,24,71,0.574,794,0.794,3.4709219271752364e-11
100.0,0.005,96,25,71,0.574,765,0.765,5.303093183678633e-11
