sample_id,fold,ridge_alpha,threshold,baseline_correct,selected_alpha,selected_score,selected_utility
pccv2_n01_dense_r00,5,0.01,0.1,True,1.0,0.042355802136865774,0
pccv2_n01_dense_r01,4,0.01,0.1,True,1.0,0.06171116838136792,0
pccv2_n01_dense_r02,3,0.01,0.1,True,1.0,0.023261860463693926,0
pccv2_n01_dense_r03,2,0.01,0.1,True,1.0,0.06959524879760332,0
pccv2_n01_dense_r04,1,0.01,0.1,True,1.0,0.04420027349940502,0
pccv2_n01_dense_r05,5,0.01,0.1,True,1.0,0.04306884570403797,0
pccv2_n01_dense_r06,4,0.01,0.1,True,1.0,0.04759710649596566,0
pccv2_n01_dense_r07,3,0.01,0.1,True,1.0,0.046425278444108695,0
pccv2_n01_dense_r08,2,0.01,0.1,True,1.0,0.019039563475781007,0
pccv2_n01_dense_r09,1,0.01,0.1,True,1.0,0.05040246778998541,0
pccv2_n01_dense_r10,5,0.01,0.1,True,1.0,0.0885981025055722,0
pccv2_n01_dense_r11,4,0.01,0.1,True,1.0,0.02416630071570114,0
pccv2_n01_dense_r12,3,0.01,0.1,True,1.0,0.03790682694880178,0
pccv2_n01_dense_r13,2,0.01,0.1,True,1.0,0.045041691993736144,0
pccv2_n01_dense_r14,1,0.01,0.1,True,1.0,0.056835635784993115,0
pccv2_n01_dense_r15,5,0.01,0.1,True,1.0,0.06150669771498719,0
pccv2_n01_dense_r16,4,0.01,0.1,True,1.0,0.06487046384687245,0
pccv2_n01_dense_r17,3,0.01,0.1,True,1.0,0.03222254934056258,0
pccv2_n01_dense_r18,2,0.01,0.1,True,1.0,0.038326201210402255,0
pccv2_n01_dense_r19,1,0.01,0.1,True,1.0,0.03526900620301026,0
pccv2_n01_distractors_r00,5,0.01,0.1,True,1.0,0.006985417509933353,0
pccv2_n01_distractors_r01,4,0.01,0.1,True,1.0,-0.011366846219038274,0
pccv2_n01_distractors_r02,3,0.01,0.1,True,1.0,0.002142921504650737,0
pccv2_n01_distractors_r03,2,0.01,0.1,True,1.0,-0.002330929350581254,0
pccv2_n01_distractors_r04,1,0.01,0.1,True,1.0,-0.028749893312395428,0
pccv2_n01_distractors_r05,5,0.01,0.1,True,1.0,-0.02549553468514197,0
pccv2_n01_distractors_r06,4,0.01,0.1,True,1.0,-0.01259514049004512,0
pccv2_n01_distractors_r07,3,0.01,0.1,True,1.0,0.006885024457790885,0
pccv2_n01_distractors_r08,2,0.01,0.1,True,1.0,0.02718510798525993,0
pccv2_n01_distractors_r09,1,0.01,0.1,True,1.0,-0.0323797027350194,0
pccv2_n01_distractors_r10,5,0.01,0.1,True,1.0,0.010246236408971918,0
pccv2_n01_distractors_r11,4,0.01,0.1,True,1.0,0.0009568996531570846,0
pccv2_n01_distractors_r12,3,0.01,0.1,True,1.0,0.004397629918431907,0
pccv2_n01_distractors_r13,2,0.01,0.1,True,1.0,0.015515240076576856,0
pccv2_n01_distractors_r14,1,0.01,0.1,True,1.0,-0.018067857819582214,0
pccv2_n01_distractors_r15,5,0.01,0.1,True,1.0,-0.017199573440222923,0
pccv2_n01_distractors_r16,4,0.01,0.1,True,1.0,0.0586642692691953,0
pccv2_n01_distractors_r17,3,0.01,0.1,True,1.0,-0.012605901445557004,0
pccv2_n01_distractors_r18,2,0.01,0.1,True,1.0,-0.001116674427043482,0
pccv2_n01_distractors_r19,1,0.01,0.1,True,4.0,0.2606400623098333,0
pccv2_n01_grid_r00,5,0.01,0.1,True,1.0,0.017929559017301373,0
pccv2_n01_grid_r01,4,0.01,0.1,True,1.0,0.03707419240598553,0
pccv2_n01_grid_r02,3,0.01,0.1,True,1.0,0.03426567598840864,0
pccv2_n01_grid_r03,2,0.01,0.1,True,1.0,0.0311811972387383,0
pccv2_n01_grid_r04,1,0.01,0.1,True,1.0,0.05361834437601403,0
pccv2_n01_grid_r05,5,0.01,0.1,True,1.0,0.029557637257275123,0
pccv2_n01_grid_r06,4,0.01,0.1,True,1.0,0.023363783185527398,0
pccv2_n01_grid_r07,3,0.01,0.1,True,1.0,0.006234068729540304,0
pccv2_n01_grid_r08,2,0.01,0.1,True,1.0,0.026956736271698423,0
pccv2_n01_grid_r09,1,0.01,0.1,True,1.0,0.034591854551916205,0
pccv2_n01_grid_r10,5,0.01,0.1,True,1.0,0.020799710048037774,0
pccv2_n01_grid_r11,4,0.01,0.1,True,1.0,0.04237489380684489,0
pccv2_n01_grid_r12,3,0.01,0.1,True,1.0,0.04180020259981136,0
pccv2_n01_grid_r13,2,0.01,0.1,True,1.0,0.02436622342394662,0
pccv2_n01_grid_r14,1,0.01,0.1,True,1.0,0.021036421408810894,0
pccv2_n01_grid_r15,5,0.01,0.1,True,1.0,0.0201973181791359,0
pccv2_n01_grid_r16,4,0.01,0.1,True,1.0,0.034253092820853426,0
pccv2_n01_grid_r17,3,0.01,0.1,True,1.0,0.018402029251418026,0
pccv2_n01_grid_r18,2,0.01,0.1,True,1.0,0.025866846052340964,0
pccv2_n01_grid_r19,1,0.01,0.1,True,1.0,0.039057267204067096,0
pccv2_n01_random_sparse_r00,5,0.01,0.1,True,1.0,0.04746175997003358,0
pccv2_n01_random_sparse_r01,4,0.01,0.1,True,1.0,0.0627512917930228,0
pccv2_n01_random_sparse_r02,3,0.01,0.1,True,1.0,0.04184481965752758,0
pccv2_n01_random_sparse_r03,2,0.01,0.1,True,1.0,0.05443967816414613,0
pccv2_n01_random_sparse_r04,1,0.01,0.1,True,1.0,0.06585649420593265,0
pccv2_n01_random_sparse_r05,5,0.01,0.1,True,1.0,0.050418683800228355,0
pccv2_n01_random_sparse_r06,4,0.01,0.1,True,1.0,0.048815057645898774,0
pccv2_n01_random_sparse_r07,3,0.01,0.1,True,1.0,0.03317785016715839,0
pccv2_n01_random_sparse_r08,2,0.01,0.1,True,1.0,0.037759187210419876,0
pccv2_n01_random_sparse_r09,1,0.01,0.1,True,1.0,0.05594306562244588,0
pccv2_n01_random_sparse_r10,5,0.01,0.1,True,1.0,0.03829988762730003,0
