sample_id,baseline_best_numeral,baseline_entropy,baseline_entropy_norm,baseline_expected_numeral,baseline_top1_prob,baseline_conditional_margin,baseline_vocab_numeral_mass,baseline_numprob_0,baseline_numprob_1,baseline_numprob_2,baseline_numprob_3,baseline_numprob_4,baseline_numprob_5,baseline_numprob_6,baseline_numprob_7,baseline_numprob_8,baseline_numprob_9,baseline_numprob_10,baseline_numprob_11,baseline_numprob_12,baseline_numprob_13,baseline_numprob_14,baseline_numprob_15,geom_top2_prob,geom_expected_minus_pred,geom_p_down1,geom_p_up1,geom_p_down2,geom_p_up2,geom_local_asymmetry,geom_up_mass,geom_down_mass,geom_signed_tail_mass,geom_up_distance_mass,geom_down_distance_mass,geom_signed_distance_mass,geom_up_boundary_gap,geom_down_boundary_gap,geom_up_down_logratio
pccv2_n01_dense_r00,1.0,0.0001443527796175,5.2064259823207615e-05,1.000005536238544,0.999989558741324,0.999983414593124,0.9973628946126754,6.144148200017669e-06,0.999989558741324,2.2603058062970234e-06,6.475884558750369e-07,3.058991264965679e-07,2.535992830916044e-07,3.058991264965679e-07,1.35741914539004e-07,3.028811512994243e-08,3.8890709650410624e-08,6.411994023325474e-08,1.6373600343126425e-07,4.4068947479033894e-08,9.237353211369168e-09,1.2625964845322991e-08,2.5109729377522622e-08,6.144148200017669e-06,5.536238544046057e-06,6.144148200017669e-06,2.2603058062970234e-06,0.0,6.475884558750369e-07,-3.883842393720645e-06,4.297110476153926e-06,6.144148200017669e-06,-1.8470377238637432e-06,1.1680386744225215e-05,6.144148200017669e-06,5.5362385442075465e-06,0.9999872984355177,0.999983414593124,-0.999999720338564
pccv2_n01_dense_r01,1.0,0.0001034053145376,3.729558362124917e-05,1.000004176092866,0.9999927053721296,0.9999884825516568,0.998337935217279,4.222820472928909e-06,0.9999927053721296,1.7603334710848993e-06,3.6898594072261277e-07,1.7429661682904093e-07,1.6373651865339616e-07,1.8553778282264346e-07,9.329425610993953e-08,2.215932812813429e-08,2.6729251895000772e-08,6.023529898156882e-08,1.4449697055160696e-07,3.432103880222997e-08,7.658058884402049e-09,1.0467325438943795e-08,1.955553843643421e-08,4.222820472928909e-06,4.1760928659595464e-06,4.222820472928909e-06,1.7603334710848993e-06,0.0,3.6898594072261277e-07,-2.4624870018440098e-06,3.0718073973408524e-06,4.222820472928909e-06,-1.1510130755880566e-06,8.398913339064525e-06,4.222820472928909e-06,4.176092866135616e-06,0.9999909450386585,0.9999884825516566,-0.874999668734501
pccv2_n01_dense_r02,1.0,0.0001568518649724,5.657235193747264e-05,1.0000043900078044,0.999988451699258,0.9999805624655392,0.997335149766334,7.889233718904466e-06,0.999988451699258,1.6536732233787797e-06,5.043418382094021e-07,2.238003340667694e-07,2.382342155180419e-07,3.466287382470533e-07,1.538155701939286e-07,3.4320892810693333e-08,4.691109846861463e-08,9.329385926379841e-08,2.535990023435987e-07,5.315723866137624e-08,1.2625950867702836e-08,1.6212041823981088e-08,2.8453019502013144e-08,7.889233718904466e-06,4.390007804389029e-06,7.889233718904466e-06,1.6536732233787797e-06,0.0,5.043418382094021e-07,-6.235560495525687e-06,3.659067023355754e-06,7.889233718904466e-06,-4.230166695548712e-06,1.2279241523130352e-05,7.889233718904466e-06,4.390007804225885e-06,0.9999867980260346,0.9999805624655391,-1.562499522040804
pccv2_n01_dense_r03,1.0,8.801214955062501e-05,3.174367292366613e-05,1.000006143562,0.9999939536282466,0.9999910513253863,0.998094573497788,2.902302860142266e-06,0.9999939536282466,1.7603356684479514e-06,3.466306453957809e-07,1.7429683439744615e-07,1.7429683439744615e-07,2.1024211402851886e-07,1.1253449428975745e-07,2.2159355788852945e-08,2.8453176050313823e-08,7.265773041048993e-08,1.637367230399981e-07,3.4321081643989114e-08,8.151971424322386e-09,1.1142423838128433e-08,2.5109839733096143e-08,2.902302860142266e-06,6.1435620000160895e-06,2.902302860142266e-06,1.7603356684479514e-06,0.0,3.466306453957809e-07,-1.1419671916943145e-06,3.144068892886092e-06,2.902302860142266e-06,2.417660327438262e-07,9.04586486025641e-06,2.902302860142266e-06,6.143562000114144e-06,0.9999921932925782,0.9999910513253865,-0.4999997764806065
pccv2_n01_dense_r04,1.0,0.0001645340552674,5.934311639790816e-05,1.000004119244728,0.9999878556571156,0.9999799664280992,0.9972230304748112,7.889229016534395e-06,0.9999878556571156,2.2603019567657043e-06,6.08352018688919e-07,2.535988511861605e-07,2.382340735187699e-07,2.87365145921122e-07,1.637357245721508e-07,3.224147581627473e-08,3.889064341556558e-08,7.734327977669913e-08,1.9750298388979047e-07,4.69110705073001e-08,1.0467274675028152e-08,1.3440246726188067e-08,2.6729122264800945e-08,7.889229016534395e-06,4.11924472798475e-06,7.889229016534395e-06,2.2603019567657043e-06,0.0,6.08352018688919e-07,-5.6289270597686905e-06,4.255113867724474e-06,7.889229016534395e-06,-3.634115148809921e-06,1.200847374457056e-05,7.889229016534395e-06,4.119244728036165e-06,0.9999855953551589,0.999979966428099,-1.2499996843364232
pccv2_n01_dense_r05,1.0,0.0001196234483391,4.3145038923226615e-05,1.000006712109345,0.9999915417598813,0.9999867566829628,0.997236520860846,4.785076918457109e-06,0.9999915417598813,1.7603314227243688e-06,5.368707511515561e-07,2.102416069491489e-07,2.3823495168471186e-07,3.256285708763704e-07,1.357421837205501e-07,3.4320998865557524e-08,4.6911243428426846e-08,7.734356487543895e-08,1.9750371191492693e-07,4.9936758690507216e-08,1.2625989883107005e-08,1.5229850925886943e-08,3.2241594663111225e-08,4.785076918457109e-06,6.71210934499733e-06,4.785076918457109e-06,1.7603314227243688e-06,0.0,5.368707511515561e-07,-3.02474549573274e-06,3.673163200353669e-06,4.785076918457109e-06,-1.1119137181034396e-06,1.1497186263346417e-05,4.785076918457109e-06,6.712109344889308e-06,0.9999897814284585,0.9999867566829628,-0.9999996409083509
pccv2_n01_dense_r06,1.0,0.0001914422016803,6.90481787452662e-05,1.0000068967446525,0.9999857749057108,0.9999768352566564,0.9972434639706228,8.939649054523935e-06,0.9999857749057108,2.726438919953913e-06,6.893517145074768e-07,3.0589796901247335e-07,3.25626693008005e-07,4.1811295017425483e-07,1.855364969498902e-07,4.6910972895838814e-08,5.658543453672852e-08,1.057155093227887e-07,2.8736454797842933e-07,6.023488151980677e-08,1.5229763096814743e-08,1.8370600938893288e-08,4.4068780727639886e-08,8.939649054523935e-06,6.896744652484799e-06,8.939649054523935e-06,2.726438919953913e-06,0.0,6.893517145074768e-07,-6.2132101345700225e-06,5.285445234622954e-06,8.939649054523935e-06,-3.6542038199009806e-06,1.5836393707135238e-05,8.939649054523935e-06,6.896744652611303e-06,0.9999830484667909,0.9999768352566563,-1.1874997450824738
pccv2_n01_dense_r07,1.0,0.000164542576208,5.9346189677626704e-05,1.0000083924925542,0.9999880339823846,0.9999810717609722,0.9974377895645832,6.96222141242698e-06,0.9999880339823846,2.4060793375281666e-06,7.811395935884629e-07,2.6995462001590885e-07,3.2562742863413585e-07,4.181138947369041e-07,1.975030191099909e-07,4.139888180217497e-08,5.658556236938218e-08,9.931075475310163e-08,2.873651971662113e-07,5.315721645644428e-08,1.3440249122952788e-08,1.5229797502506726e-08,3.889065035083425e-08,6.96222141242698e-06,8.392492554243347e-06,6.96222141242698e-06,2.4060793375281666e-06,0.0,7.811395935884629e-07,-4.556142074898814e-06,5.003796203137179e-06,6.96222141242698e-06,-1.9584252092898013e-06,1.5354713966584725e-05,6.96222141242698e-06,8.392492554157746e-06,0.999985627903047,0.9999810717609722,-1.0624997280185013
pccv2_n01_dense_r08,1.0,0.0001647563495458,5.942329211118191e-05,1.0000018858624304,0.9999877002833047,0.9999787606170378,0.9976286808059543,8.93966626696877e-06,0.9999877002833047,1.5534810603420829e-06,4.737849549233206e-07,2.53598811783062e-07,2.23800165897686e-07,2.53598811783062e-07,1.4449624732615874e-07,3.4320867021129125e-08,4.13988679872409e-08,8.233147996451683e-08,1.975029532026265e-07,4.691106321845978e-08,1.1142354160287385e-08,1.5229792420276494e-08,2.8452998121713466e-08,8.93966626696877e-06,1.8858624304396443e-06,8.93966626696877e-06,1.5534810603420829e-06,0.0,4.737849549233206e-07,-7.386185206626687e-06,3.3600504281516227e-06,8.93966626696877e-06,-5.579615838817147e-06,1.0825528697247754e-05,8.93966626696877e-06,1.8858624302789842e-06,0.9999861468022444,0.9999787606170378,-1.7499994681455955
pccv2_n01_dense_r09,1.0,0.0001519758361728,5.481369629539146e-05,1.0000075110370126,0.9999890190820312,0.999982874937147,0.9953626021675764,6.144144884236375e-06,0.9999890190820312,2.5612606456401505e-06,6.893539509177986e-07,3.058989614135379e-07,2.6995488595129184e-07,3.256277494134392e-07,1.8553709887156253e-07,3.432091228400156e-08,4.691112508547116e-08,8.76415197995288e-08,2.102410765728179e-07,5.65856181124667e-08,1.1860989905356427e-08,1.7257638481166762e-08,3.432091228400156e-08,6.144144884236375e-06,7.511037012575272e-06,6.144144884236375e-06,2.5612606456401505e-06,0.0,6.893539509177986e-07,-3.582884238596224e-06,4.836773084732592e-06,6.144144884236375e-06,-1.3073717995037824e-06,1.365518189674642e-05,6.144144884236375e-06,7.511037012510045e-06,0.9999864578213855,0.999982874937147,-0.8749997723239062
