sample_id,ground_truth,condition,baseline_pred,baseline_error,repairable,n_successful_alphas,successful_alphas,oracle_alpha,oracle_pred,oracle_correct
pccv2_n02_distractors_r00,2,distractors,1,-1,True,3,"2.0,3.0,4.0",2.0,2,True
pccv2_n03_dense_r05,3,dense,2,-1,True,1,4.0,4.0,3,True
pccv2_n03_dense_r09,3,dense,2,-1,True,4,"1.5,2.0,3.0,4.0",1.5,3,True
pccv2_n03_dense_r19,3,dense,2,-1,False,0,,1.0,2,False
pccv2_n03_distractors_r00,3,distractors,2,-1,True,5,"1.25,1.5,2.0,3.0,4.0",1.25,3,True
pccv2_n03_distractors_r04,3,distractors,2,-1,True,5,"1.25,1.5,2.0,3.0,4.0",1.25,3,True
pccv2_n03_distractors_r05,3,distractors,2,-1,True,5,"1.25,1.5,2.0,3.0,4.0",1.25,3,True
pccv2_n03_distractors_r07,3,distractors,2,-1,True,3,"2.0,3.0,4.0",2.0,3,True
pccv2_n03_distractors_r12,3,distractors,2,-1,True,3,"2.0,3.0,4.0",2.0,3,True
pccv2_n03_distractors_r15,3,distractors,2,-1,True,3,"2.0,3.0,4.0",2.0,3,True
pccv2_n03_distractors_r17,3,distractors,2,-1,True,2,"3.0,4.0",3.0,3,True
pccv2_n03_distractors_r18,3,distractors,2,-1,True,2,"3.0,4.0",3.0,3,True
pccv2_n03_distractors_r19,3,distractors,2,-1,True,4,"1.5,2.0,3.0,4.0",1.5,3,True
pccv2_n04_dense_r05,4,dense,3,-1,True,5,"1.25,1.5,2.0,3.0,4.0",1.25,4,True
pccv2_n04_dense_r07,4,dense,3,-1,True,5,"1.25,1.5,2.0,3.0,4.0",1.25,4,True
pccv2_n04_dense_r08,4,dense,3,-1,True,2,"3.0,4.0",3.0,4,True
pccv2_n04_distractors_r01,4,distractors,5,1,True,4,"0.0,0.25,0.5,0.75",0.75,4,True
pccv2_n04_distractors_r04,4,distractors,5,1,False,0,,1.0,5,False
pccv2_n04_distractors_r06,4,distractors,5,1,True,4,"0.0,0.25,0.5,0.75",0.75,4,True
pccv2_n04_distractors_r07,4,distractors,3,-1,True,2,"2.0,3.0",2.0,4,True
pccv2_n04_distractors_r09,4,distractors,2,-2,False,0,,1.0,2,False
pccv2_n04_distractors_r11,4,distractors,5,1,True,1,0.0,0.0,4,True
pccv2_n04_distractors_r12,4,distractors,5,1,False,0,,1.0,5,False
pccv2_n04_distractors_r14,4,distractors,3,-1,True,5,"1.25,1.5,2.0,3.0,4.0",1.25,4,True
pccv2_n04_distractors_r18,4,distractors,5,1,True,2,"0.25,0.5",0.5,4,True
pccv2_n04_grid_r01,4,grid,3,-1,True,3,"2.0,3.0,4.0",2.0,4,True
pccv2_n04_grid_r02,4,grid,3,-1,True,2,"3.0,4.0",3.0,4,True
pccv2_n04_grid_r03,4,grid,3,-1,True,4,"1.5,2.0,3.0,4.0",1.5,4,True
pccv2_n04_grid_r04,4,grid,3,-1,True,4,"1.5,2.0,3.0,4.0",1.5,4,True
pccv2_n04_grid_r05,4,grid,3,-1,True,3,"2.0,3.0,4.0",2.0,4,True
pccv2_n04_grid_r06,4,grid,3,-1,True,2,"3.0,4.0",3.0,4,True
pccv2_n04_grid_r09,4,grid,3,-1,True,2,"3.0,4.0",3.0,4,True
pccv2_n04_grid_r12,4,grid,3,-1,True,4,"1.5,2.0,3.0,4.0",1.5,4,True
pccv2_n04_grid_r17,4,grid,3,-1,False,0,,1.0,3,False
pccv2_n04_grid_r18,4,grid,3,-1,True,2,"3.0,4.0",3.0,4,True
pccv2_n04_random_sparse_r05,4,random_sparse,3,-1,True,5,"1.25,1.5,2.0,3.0,4.0",1.25,4,True
pccv2_n04_row_r07,4,row,3,-1,True,2,"3.0,4.0",3.0,4,True
pccv2_n05_dense_r00,5,dense,4,-1,True,1,4.0,4.0,5,True
pccv2_n05_dense_r02,5,dense,4,-1,False,0,,1.0,4,False
pccv2_n05_dense_r03,5,dense,4,-1,False,0,,1.0,4,False
pccv2_n05_dense_r06,5,dense,4,-1,True,2,"3.0,4.0",3.0,5,True
pccv2_n05_dense_r07,5,dense,4,-1,True,2,"3.0,4.0",3.0,5,True
pccv2_n05_dense_r08,5,dense,4,-1,False,0,,1.0,4,False
pccv2_n05_dense_r09,5,dense,4,-1,False,0,,1.0,4,False
pccv2_n05_dense_r12,5,dense,4,-1,False,0,,1.0,4,False
pccv2_n05_dense_r13,5,dense,4,-1,True,2,"3.0,4.0",3.0,5,True
pccv2_n05_dense_r15,5,dense,4,-1,False,0,,1.0,4,False
pccv2_n05_dense_r16,5,dense,4,-1,True,4,"1.5,2.0,3.0,4.0",1.5,5,True
pccv2_n05_distractors_r00,5,distractors,6,1,True,1,0.0,0.0,5,True
pccv2_n05_distractors_r01,5,distractors,6,1,False,0,,1.0,6,False
pccv2_n05_distractors_r04,5,distractors,6,1,True,4,"0.0,0.25,0.5,0.75",0.75,5,True
pccv2_n05_distractors_r06,5,distractors,6,1,True,1,0.0,0.0,5,True
pccv2_n05_distractors_r07,5,distractors,6,1,False,0,,1.0,6,False
pccv2_n05_distractors_r08,5,distractors,4,-1,True,3,"2.0,3.0,4.0",2.0,5,True
pccv2_n05_distractors_r09,5,distractors,6,1,True,1,0.0,0.0,5,True
