sample_id,condition,replicate,ground_truth,baseline_prediction,selected_alpha,selected_score,post_prediction,baseline_correct,post_correct,repair,break_case,hook_calls,score_alpha_0,score_alpha_1p5,score_alpha_2,score_alpha_4,baseline_expected_numeral,baseline_entropy,baseline_top1_prob,baseline_conditional_margin,post_expected_numeral,feature__baseline_best_numeral,feature__baseline_entropy,feature__baseline_entropy_norm,feature__baseline_expected_numeral,feature__baseline_top1_prob,feature__baseline_conditional_margin,feature__baseline_vocab_numeral_mass,feature__baseline_numprob_0,feature__baseline_numprob_1,feature__baseline_numprob_2,feature__baseline_numprob_3,feature__baseline_numprob_4,feature__baseline_numprob_5,feature__baseline_numprob_6,feature__baseline_numprob_7,feature__baseline_numprob_8,feature__baseline_numprob_9,feature__baseline_numprob_10,feature__baseline_numprob_11,feature__baseline_numprob_12,feature__baseline_numprob_13,feature__baseline_numprob_14,feature__baseline_numprob_15,feature__geom_top2_prob,feature__geom_expected_minus_pred,feature__geom_p_down1,feature__geom_p_up1,feature__geom_p_down2,feature__geom_p_up2,feature__geom_local_asymmetry,feature__geom_up_mass,feature__geom_down_mass,feature__geom_signed_tail_mass,feature__geom_up_distance_mass,feature__geom_down_distance_mass,feature__geom_signed_distance_mass,feature__geom_up_boundary_gap,feature__geom_down_boundary_gap,feature__geom_up_down_logratio
pccv3_n01_dense_r00,dense,0,1,1,1.0,0.030937698851168597,1,True,True,False,False,0,-0.0015079526776272667,0.006836154551944138,0.016651416715012336,0.030937698851168597,1.000004109221953,9.502809452123143e-05,0.9999933460813434,0.9999891232581648,1.000004109221953,1.0,9.502809452123143e-05,3.427414017772706e-05,1.000004109221953,0.9999933460813434,0.9999891232581648,0.9973682368058787,4.2228231785486305e-06,0.9999933460813434,1.0030084202641568e-06,3.6898617713702915e-07,1.8553790169927754e-07,1.8553790169927754e-07,2.238014294437649e-07,1.1253442591936052e-07,2.358849711920962e-08,3.2241652837804503e-08,6.412018307980604e-08,1.5381632303479385e-07,3.4321060792196166e-08,8.151966471587446e-09,1.1861041228415167e-08,2.358849711920962e-08,4.2228231785486305e-06,4.1092219529303975e-06,4.2228231785486305e-06,1.0030084202641568e-06,0.0,3.6898617713702915e-07,-3.219814758284474e-06,2.4310954778458885e-06,4.2228231785486305e-06,-1.791727700702742e-06,8.332045131782782e-06,4.2228231785486305e-06,4.109221953234152e-06,0.9999923430729231,0.9999891232581648,-1.4374992398082658
pccv3_n01_dense_r01,dense,1,1,1,1.0,0.0742995559344386,1,True,True,False,False,0,0.006346264396980862,0.014512451002887127,0.032397196771524896,0.0742995559344386,1.0000077778611254,0.00013556991542284976,0.9999903211925303,0.9999855361214524,1.0000077778611254,1.0,0.00013556991542284976,4.889651116857039e-05,1.0000077778611254,0.9999903211925303,0.9999855361214524,0.9980962320751763,4.78507107789905e-06,0.9999903211925303,2.9022923176499535e-06,6.083535186205814e-07,2.535994764507026e-07,2.535994764507026e-07,2.873658544386707e-07,1.538158577544231e-07,3.224155530974057e-08,4.13989764912505e-08,8.764163391972503e-08,1.742962012715715e-07,4.406898107980688e-08,1.0467300482777977e-08,1.4307103441527736e-08,3.028813822339347e-08,4.78507107789905e-06,7.777861125379815e-06,4.78507107789905e-06,2.9022923176499535e-06,0.0,6.083535186205814e-07,-1.8827787602490967e-06,4.893736391584827e-06,4.78507107789905e-06,1.0866531368577669e-07,1.2562932203395937e-05,4.78507107789905e-06,7.777861125496886e-06,0.9999874189002126,0.9999855361214524,-0.4999998644281179
pccv3_n01_dense_r02,dense,2,1,1,1.0,0.027498955406158633,1,True,True,False,False,0,-0.0028130544951827305,0.00675713571173147,0.015812422963998433,0.027498955406158633,1.0000038524852028,0.00015585753329640586,0.9999885164550483,0.9999806272208185,1.0000038524852028,1.0,0.00015585753329640586,5.621372259297781e-05,1.0000038524852028,0.9999885164550483,0.9999806272208185,0.9973464698003429,7.889234229783932e-06,0.9999885164550483,1.6536733304649325e-06,5.368691269401401e-07,2.3823423094526495e-07,2.3823423094526495e-07,2.69954750263192e-07,1.4449636526136342e-07,3.0288083560726086e-08,3.889066911473445e-08,9.931080266839935e-08,2.2380034855930427e-07,5.6585589670695874e-08,1.3440255607583179e-08,1.621204287381679e-08,3.432089503319554e-08,7.889234229783932e-06,3.852485202848754e-06,7.889234229783932e-06,1.6536733304649325e-06,0.0,5.368691269401401e-07,-6.235560899318999e-06,3.594310721908614e-06,7.889234229783932e-06,-4.294923507875318e-06,1.174171943279081e-05,7.889234229783932e-06,3.8524852030068785e-06,0.9999868627817178,0.9999806272208185,-1.5624995220408353
pccv3_n01_dense_r03,dense,3,1,1,1.0,0.057738354374695974,1,True,True,False,False,0,0.00327040428262116,0.01170425571740333,0.02686040000599619,0.057738354374695974,1.000006851653731,0.00016372741798809264,0.9999880238870538,0.9999810616657117,1.000006851653731,1.0,0.00016372741798809264,5.905218349724393e-05,1.000006851653731,0.9999880238870538,0.9999810616657117,0.9975616595690111,6.962221342140211e-06,0.9999880238870538,2.902285650133384e-06,6.083521210331844e-07,2.3823411359736003e-07,2.535988938495976e-07,3.0589865698108497e-07,1.5381550438899054e-07,3.653438459205407e-08,4.1398881384234564e-08,1.0571574707837892e-07,2.3823411359736003e-07,6.023501698885856e-08,1.3440248987267404e-08,1.7257621306263023e-08,3.8890649958215575e-08,6.962221342140211e-06,6.851653731043683e-06,6.962221342140211e-06,2.902285650133384e-06,0.0,6.083521210331844e-07,-4.059935692006826e-06,5.013891603876233e-06,6.962221342140211e-06,-1.9483297382639775e-06,1.3813875073647946e-05,6.962221342140211e-06,6.851653731507735e-06,0.9999851216014036,0.9999810616657117,-0.874999799076346
pccv3_n01_dense_r04,dense,4,1,1,1.0,0.06013800245879475,1,True,True,False,False,0,0.007440807472036501,0.009725523322776222,0.028512461174729026,0.06013800245879475,1.000009894326344,0.0001658505863453484,0.9999879889922164,0.9999818448536613,1.000009894326344,1.0,0.0001658505863453484,5.981795461224025e-05,1.000009894326344,0.9999879889922164,0.9999818448536613,0.9954516646101705,6.14413855514581e-06,0.9999879889922164,3.288720380045951e-06,7.33812705083058e-07,3.689842004320388e-07,3.4662857785764304e-07,3.689842004320388e-07,1.742957947739818e-07,4.139887993961003e-08,4.993658127530504e-08,9.93107502850406e-08,2.3823410528411984e-07,6.825521393959589e-08,1.6212034322468547e-08,2.215922361556183e-08,4.993658127530504e-08,6.14413855514581e-06,9.894326344017657e-06,6.14413855514581e-06,3.288720380045951e-06,0.0,7.33812705083058e-07,-2.8554181750998594e-06,5.866869228561717e-06,6.14413855514581e-06,-2.7726932658409336e-07,1.6038464898990864e-05,6.14413855514581e-06,9.894326343845053e-06,0.9999847002718364,0.9999818448536613,-0.6249998586871461
pccv3_n01_dense_r05,dense,5,1,1,1.0,0.037323403765031904,1,True,True,False,False,0,-0.0014931506918760828,0.008702507483137698,0.0191746183917754,0.037323403765031904,1.0000007669534647,0.000187914377202961,0.9999857477457371,0.9999756177965151,1.0000007669534647,1.0,0.000187914377202961,6.777578502561248e-05,1.0000007669534647,0.9999857477457371,0.9999756177965151,0.997835433218289,1.0129949221961037e-05,0.9999857477457371,2.5612522668032348e-06,4.4507890657378966e-07,1.538151542789729e-07,1.975025675659474e-07,2.1024038879600116e-07,1.057155064515174e-07,2.5109633683455602e-08,3.028799970086411e-08,8.233131920723191e-08,2.1024038879600116e-07,4.1398787153401664e-08,1.186095110364359e-08,1.522976268316889e-08,3.224140785327563e-08,1.0129949221961037e-05,7.669534647369858e-07,1.0129949221961037e-05,2.5612522668032348e-06,0.0,4.4507890657378966e-07,-7.568696955157802e-06,4.122305040650507e-06,1.0129949221961037e-05,-6.00764418131053e-06,1.0896902686715028e-05,1.0129949221961037e-05,7.669534647539908e-07,0.9999831864934703,0.9999756177965151,-1.3749997082832366
pccv3_n01_dense_r06,dense,6,1,1,1.0,0.041338540797164744,1,True,True,False,False,0,0.0008788942679079856,0.00839481429431488,0.02062180912513394,0.041338540797164744,1.000005658673562,0.00012570930719239516,0.9999910241463097,0.9999856019466083,1.000005658673562,1.0,0.00012570930719239516,4.534004852001395e-05,1.000005658673562,0.9999910241463097,0.9999856019466083,0.9971870283023758,5.422199701326105e-06,0.9999910241463097,1.6536774774147144e-06,5.714956439393439e-07,2.2380090978792756e-07,2.3823482837002462e-07,2.8736605644553933e-07,1.3574211345795928e-07,2.8453092696744546e-08,4.139900559309916e-08,7.734352484102146e-08,1.9750360968346054e-07,4.69112191463252e-08,9.833125718210364e-09,1.3440289311981762e-08,2.8453092696744546e-08,5.422199701326105e-06,5.658673561947936e-06,5.422199701326105e-06,1.6536774774147144e-06,0.0,5.714956439393439e-07,-3.7685222239113908e-06,3.553653989103097e-06,5.422199701326105e-06,-1.8685457122230083e-06,1.1080873263176828e-05,5.422199701326105e-06,5.658673561850723e-06,0.9999893704688323,0.9999856019466083,-1.1874995797143235
pccv3_n01_dense_r07,dense,7,1,1,1.0,0.052219711347100906,1,True,True,False,False,0,0.0035655311764923453,0.010056815192147043,0.02570149304755443,0.052219711347100906,1.0000093134585317,0.0002057161281066955,0.9999847040377431,0.9999757643982619,1.0000093134585317,1.0,0.0002057161281066955,7.419640946260207e-05,1.0000093134585317,0.9999847040377431,0.9999757643982619,0.996384483327871,8.939639481203937e-06,0.9999847040377431,3.500813121301522e-06,7.811369924057331e-07,3.2562634429984957e-07,3.6898298832118033e-07,4.4507844203475617e-07,1.9750236142800088e-07,5.315703944373804e-08,6.825498972163244e-08,1.275171086220177e-07,3.2562634429984957e-07,7.265705835217319e-08,1.7257564012874674e-08,1.9555381964890668e-08,5.315703944373804e-08,8.939639481203937e-06,9.313458531723384e-06,8.939639481203937e-06,3.500813121301522e-06,0.0,7.811369924057331e-07,-5.4388263599024144e-06,6.356322775651956e-06,8.939639481203937e-06,-2.583316705551981e-06,1.8253098013299238e-05,8.939639481203937e-06,9.313458532095301e-06,0.9999812032246218,0.9999757643982619,-0.9374998262134449
pccv3_n01_dense_r08,dense,8,1,1,1.0,0.02996886549708743,1,True,True,False,False,0,-0.002376536202427615,0.007136545530327844,0.016334352649746572,0.02996886549708743,1.0000030143462217,0.00012533435810894487,0.9999909319294331,0.999984787772796,1.0000030143462217,1.0,0.00012533435810894487,4.520481422419405e-05,1.0000030143462217,0.9999909319294331,0.999984787772796,0.9976388083550356,6.144156637177012e-06,0.9999909319294331,1.3709466544303445e-06,4.4508121397748626e-07,1.9750359147013104e-07,1.9750359147013104e-07,2.2380088914952143e-07,1.1979198362999302e-07,2.358844017261532e-08,3.224157500103879e-08,6.825541481281792e-08,1.6373622827394479e-07,3.653449083686517e-08,8.677702188807723e-09,1.1142390168875963e-08,2.5109763858264444e-08,6.144156637177012e-06,3.0143462217413486e-06,6.144156637177012e-06,1.3709466544303445e-06,0.0,4.4508121397748626e-07,-4.7732099827466675e-06,2.9239139294408375e-06,6.144156637177012e-06,-3.2202427077361742e-06,9.158502859157524e-06,6.144156637177012e-06,3.0143462219805117e-06,0.9999895609827787,0.999984787772796,-1.4999994333335358
pccv3_n01_dense_r09,dense,9,1,1,1.0,0.060385587474762595,1,True,True,False,False,0,0.0075548553760860365,0.009778678472557062,0.02892503675229218,0.060385587474762595,1.0000101457349155,0.00040936901961353863,0.9999672269585627,0.999948302072395,1.0000101457349155,1.0,0.00040936901961353863,0.00014764866362250724,1.0000101457349155,0.9999672269585627,0.999948302072395,0.9950344628168537,1.892488616764593e-05,0.9999672269585627,1.0129761604653439e-05,1.1365277537544834e-06,4.1810519492703395e-07,4.450706632445991e-07,5.043311335610439e-07,2.3822915900019858e-07,7.734168426611907e-08,8.763960988373573e-08,1.5381230546063422e-07,4.450706632445991e-07,9.329187910295955e-08,2.8452415587078022e-08,3.0287438735272686e-08,6.023376427051489e-08,1.892488616764593e-05,1.0145734915534277e-05,1.892488616764593e-05,1.0129761604653439e-05,0.0,1.1365277537544834e-06,-8.795124562992492e-06,1.384815526969171e-05,1.892488616764593e-05,-5.0767308979542205e-06,2.9070621082775976e-05,1.892488616764593e-05,1.0145734915130046e-05,0.999957097196958,0.999948302072395,-0.6249999541214736
