scope,n,baseline_correct,baseline_wrong,baseline_accuracy,post_correct,post_accuracy,accuracy_change,accuracy_change_ci95_low,accuracy_change_ci95_high,repairs,breaks,net_repairs,repair_rate_among_wrong,break_rate_among_correct,intervention_rate,mcnemar_exact_p,ground_truth
GT_0,627,320,307,0.5103668261562998,327,0.5215311004784688,0.011164274322169043,0.003189792663476874,0.02073365231259968,7,0,7,0.02280130293159609,0.0,0.33014354066985646,0.015625,0
GT_1,1990,1459,531,0.7331658291457287,1534,0.770854271356784,0.03768844221105527,0.02914572864321608,0.04623115577889447,76,1,75,0.1431261770244821,0.0006854009595613434,0.12613065326633166,1.0323214044661785e-21,1
GT_2,768,556,212,0.7239583333333334,574,0.7473958333333334,0.0234375,0.0078125,0.040364583333333336,30,12,18,0.14150943396226415,0.02158273381294964,0.18359375,0.007915897334896727,2
GT_3,296,156,140,0.527027027027027,147,0.4966216216216216,-0.030405405405405372,-0.06756756756756757,0.006756756756756757,12,21,-9,0.08571428571428572,0.1346153846153846,0.30743243243243246,0.16275565745308995,3
GT_4,144,50,94,0.3472222222222222,45,0.3125,-0.03472222222222221,-0.06944444444444445,-0.006944444444444444,0,5,-5,0.0,0.1,0.2777777777777778,0.0625,4
GT_5,67,25,42,0.373134328358209,27,0.40298507462686567,0.02985074626865669,0.0,0.07462686567164178,2,0,2,0.047619047619047616,0.0,0.2835820895522388,0.5,5
GT_6,42,18,24,0.42857142857142855,20,0.47619047619047616,0.047619047619047616,0.0,0.11904761904761904,2,0,2,0.08333333333333333,0.0,0.40476190476190477,0.5,6
GT_7,22,5,17,0.22727272727272727,3,0.13636363636363635,-0.09090909090909091,-0.22727272727272727,0.0,0,2,-2,0.0,0.4,0.5,0.5,7
GT_8,20,6,14,0.3,2,0.1,-0.19999999999999998,-0.4,-0.05,0,4,-4,0.0,0.6666666666666666,0.55,0.125,8
GT_9,9,0,9,0.0,1,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,1,0,1,0.1111111111111111,0.0,0.2222222222222222,1.0,9
GT_11,6,0,6,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.6666666666666666,1.0,11
GT_12,5,1,4,0.2,1,0.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,1.0,12
GT_13,2,0,2,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,1.0,13
GT_14,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,14
GT_15,1,1,0,1.0,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,15
