image,question_id,subset,answer,data_source,width,height,file_bytes,file_sha256,pixel_sha256
VG_100K/10.jpg,30092515,simple,2,imported_genome,800,600,49123,2d04540521590aa87c7e2dc2f649307aa14e93a6e7fc702b24385eb2a3f04386,916cb99539df5ad97e40a5b887f08be76f357e4145f26c3cc92cc5375da2ad98
VG_100K/1159369.jpg,911593695000,complex,2,amt,1024,768,565088,808ade4a50e29772a32904e1ea3ef57932b174d8d310c61c09dd19f8c68bb204,408ecdf819b3917945ab4f4bf81ab76c60d91a134d011ad13ff00125572eb237
VG_100K/1159373.jpg,911593734387,complex,1,amt,1024,681,541088,4ac5694f641f08e3c9df5b916004c8ff66389c06ec43bccd0efdf99cb9a8eec5,97bfff8d8a2151d69509b42c0e5670003dbe72c6f86740f570d4bcad402cacf9
VG_100K/1159378.jpg,911593785279,complex,2,amt,679,1024,409054,fec22bd883dc326b29d1a679f3c29bb7d5172ba7da146608c7142bf7b811682c,56d1fc2f117e1da6777bcd9fb955e73b08628c035bbfd0249435626568823b79
VG_100K/1159585.jpg,911595854702,complex,2,amt,1024,759,525986,759bf00ed8ab58f7c9348552394f5d44bb01702beb102f6697f588822f043950,cb3d97699cdf7cf9d1122bc4b4100e2b6e0031bfff1a4db2d8bb3fd6c5aff067
VG_100K/1159821.jpg,9115982120679,complex,0,amt,768,1024,302001,15535c761aa08590df197e3cbd485e0f35f1ee8e3fd0b965b8951555a504b8f5,794e76f9d194f3a64d96a972428bb7c5d6fc3abd46b01a158697216d20847034
VG_100K/1159898.jpg,911598985037,complex,1,amt,1280,960,102015,fcf5e7cc38956afee164139491bf0eeabec5324b2f268fb84269dfcff6b06c29,a142efee338adcd2db4b380ebfa8ced093161ad01c0e6e145d5f48e6cea70bac
VG_100K/1159914.jpg,911599141757,complex,0,amt,1024,681,449581,3ade63bdf79283562fbe01c06229fac453427bf9842e993d637851b25f584442,3818e80a33544cf74653a3a87488550394d5cf71b38f454d6c40d6ebb4b04032
VG_100K/1159992.jpg,9115999211388,complex,1,amt,1024,768,449171,62363f9e97b0c526c2ff67a9765ec3fed7346415b1ec0e8e6f3740ea14e07458,3f4f6748a0c354b823cab16f5ac5e59a57fe334c10d61fc524a66e185ba9d8a8
VG_100K/1160048.jpg,911600484652,complex,4,amt,1024,681,330954,29a3444f295d51fcc4844a8f0042386d4e49663c4c94170cc1328a565aca588d,be62e9c4ed1009d0c37b2a2253b82bd6791147a72d16ac0c3f68086b4e7fcd5e
VG_100K/1160096.jpg,911600964044,complex,3,amt,1024,768,503046,b9bf662009b09b10f38ba3389d1d14c2d64e797260cb2f56efbe30594b840a10,7217ca946869fb540e1ed9fb42d8de86348b064290ac7f58e58176220270e34e
VG_100K/1160122.jpg,911601222693,complex,4,amt,1024,650,304795,1c98348f039a81eadb109938bcee8da2a04113b7a6f896549c6cdcca18a67f53,c416f38478b437c3172c2ca245c2f7ec63f81166d7ce53c7eac619f2ac27f6d1
VG_100K/12.jpg,30092533,simple,2,imported_genome,800,600,65637,8b29a421d8fff9a02d04251c906a9dc33c564836398e13b07383b6ff0853a0b7,afeda60f3b63de1525cfba4704d56547c06fa7be486967d6b7ea89b378dfc381
VG_100K/14.jpg,30092543,simple,1,imported_genome,800,600,68525,bbb45f3c79ef91342a26aa75405681dadc6178ec42073a660849444874bffcd0,7cc3d35c1691235f453e855f814ba79699e5e76c1eebcc2c6717d3e44921761c
VG_100K/1591820.jpg,915918204507,complex,2,amt,1024,685,478081,8e2a27e1b99ba3b4194f2bf2fe5430a4330713fa120cb9739c83dd8500debe8f,8e32564dc22c52d0586628c4efe916dfec9dce4e5125bc6158c961510a399dd9
VG_100K/1591822.jpg,915918226346,complex,1,amt,1024,768,402788,73feec04ebdbc9768f7b71c0e4011c9513bcc77a08fd01c796ce6717968b1b67,e97f0073d6dc6ffe518b3e2355d31fc4243427726897335fe77a386732bb2b4d
VG_100K/1591952.jpg,915919524462,complex,2,amt,1024,683,386710,f3bff7e0f722c95c54ba3d31ff7806433a9640d4af9698a7b469ffbc42284c84,9f5184cbcb816e6d0ac9034faf9466069562281d5059e87f4ebd397172107120
VG_100K/1592037.jpg,9159203711761,complex,1,amt,1024,683,378802,a155606a94a57d1a6eaf53565e5104c00fa5f570b87723dbdf06232200e53906,4ee0f77619d9751d4723c0a7af94faf6cb7ae92eac6e1ca751d5fd63732e6ef8
VG_100K/1592197.jpg,915921977948,complex,2,amt,1024,951,670120,1275520c729e1472b7cd6e263e0a33d76f975d470c1b13e245b33832887370e5,8f7047f6064bf22db8d753f6cefad291572d76da86eccf2b547b6c806cbc83d2
VG_100K/1592216.jpg,915922166207,complex,2,amt,1024,697,429788,d4a6b817cca542811177f30df76e51a319f8afababd68e5a361337d129d18e2f,5d1f66792b81a385fc47cdae9aa266777933c73c5c5c0e6f6bdf8e5b6d0a8ffc
VG_100K/1592219.jpg,915922197692,complex,0,amt,1024,768,421351,6e0df63ad07cb6883fa5c4c0a83e6f939c2a9e654a39ecb1cf63952f41382ec3,250c08a4d8f7db2b12f3d5fe077c3cf3e2e7427657d356ff10ce6309a28f6819
VG_100K/1592332.jpg,9159233217075,complex,1,amt,768,1024,381285,306663ba3722ee3c5e54edcee5d277941b433fb7fec9ff0128a68088cee90d29,fcf0ab47b9ed6936c2c06de4a5e3b56989a1f840bdb201afd27aefd795e56fcb
VG_100K/1592380.jpg,9159238017133,complex,1,amt,612,612,131571,fc36e99ceac5751a2eac02ec5be2391a157aae49c9e3eada27dc5a977e6bfa90,1f4c9d0ec5bfd24b2dfeefe1062d11c46a4a93d4f27af45fff0e1e1624b80c4e
VG_100K/1592477.jpg,9159247711248,complex,1,amt,1024,768,594743,66363f21af5b3ac4d345db80c13d096fb7635772b0841e6a98dc5bddaa400fb6,7f61acc6e4676610aebe8c2ee3ff6c33c57d92ea296555637126e50081aecefc
VG_100K/1592483.jpg,91592483698,complex,5,amt,1024,768,405217,8dcea0638349f2492a81a2d05f921cb5b583cb3b31974c7c909eb9fcdf4f17f6,59e54779163d32b4d9e033fefdedd8261fe52ce33bea39c21978bc6940d29102
VG_100K/1592571.jpg,9159257114977,complex,1,amt,1024,683,372665,6c342aeb3dc9b5b494434addf0f0b5d1ae7dbc6a3705f80537e7ce11db0054e4,dccf4f64a0c8dbc09f30578b3e8a80fcbdde20f42a59e8f91558d98c9272a273
VG_100K/1592586.jpg,9159258620356,complex,0,amt,1024,576,370631,7629a9d8a80d44ffdb2c190a48e3437931a98c04c6a88ec26fcd8e67cbd70080,e28b036e248b7e305de47e776ae48ed92b24a48d5c160d9f31223b4bc9af3dc5
VG_100K/1592624.jpg,915926245255,complex,1,amt,612,612,107286,1db80a939a8f925494f3aebfeffef69a82bfb597c2da98c5b470c2a18ff4712a,83e30fc65d3b36779edb3f7a20f73198366e237e85c6ff42b9787b136022c4eb
VG_100K/1592829.jpg,915928298977,complex,2,amt,1024,630,339432,1159dcc9aec8f5fb615c951d6f49f6bf0a9a00084e967747fd62ba7b0d6ae063,2ec8b5f73695fa6856bd42c7fd7c96508177a39694307eb3160a1f5ca36129a3
VG_100K/1592886.jpg,9159288611452,complex,1,amt,1024,682,605394,a5f1822c64fd2cac38cf05eb7dee8a90d88fc5b9336f17002d336f1dbdb33ae7,94c56e5cb4469204da9387479152a45aaa4ac3ce48fa7543c42030b0c584ddd9
VG_100K/1592894.jpg,9159289411451,complex,1,amt,1024,768,396500,7302b57e76268e7077ce241eb7ae590a45d38386301d52377128510ebeb24e2f,3f33ebadfde2af99428296fcbe06e7b22ff7ed457525bef0a64191418239f9fb
VG_100K/1592949.jpg,915929498000,complex,8,amt,1024,768,399687,0bbfe0fa217c1a898225762461befc50557fb4e3f55e6c8b0dba1ba120bb6400,e5f39384e26e601f7c8a6e9686ae5052b7d18a559e01965b860d6834561a45cd
VG_100K/1593007.jpg,9159300711361,complex,2,amt,1024,768,390250,c096fb5dfaccf376dd7383167a1227995a8d390d39bd4dd66d1985ba38885c9d,69a3492abb17598c9715fcefbe0daf716abdd110af4c49e6a3ac85ecfded3af2
VG_100K/1593049.jpg,915930494647,complex,1,amt,1024,768,433002,eeb45f258f000d02c33d1cae67daff35dacc9fb8c987fcedd25e7f407fee1cec,14024305c8ea0611d166c10fbb852e576f4a2391006f74716036c36107fc1368
VG_100K/1593149.jpg,915931498437,complex,0,amt,768,1024,444845,361b1c6513c9873b4c5fb9f765c23f63db0209f95871720e7b2ac7e8c6e58644,297a3602c7e8d2fd1536adae791270d017ac07d8d30768ffe7b86775316bfc83
VG_100K/1593248.jpg,91593248451,complex,2,amt,1024,681,402327,a433be13f9bcc9c9572123c5b05099c9a1d89027647c111ec31a0ace120d63c6,a5065f27786eb7bd6aecbaca99beb82c04b32d8f98814f68cf13fd3a36f814c1
