scope,n,baseline_correct,baseline_wrong,baseline_accuracy,post_correct,post_accuracy,accuracy_change,accuracy_change_ci95_low,accuracy_change_ci95_high,repairs,breaks,net_repairs,repair_rate_among_wrong,break_rate_among_correct,intervention_rate,mcnemar_exact_p,ground_truth
GT_0,648,343,305,0.529320987654321,350,0.5401234567901234,0.010802469135802406,-0.0030864197530864196,0.024691358024691357,15,8,7,0.04918032786885246,0.023323615160349854,0.9398148148148148,0.21003961563110352,0
GT_1,1990,1452,538,0.7296482412060301,1402,0.7045226130653266,-0.025125628140703515,-0.032663316582914576,-0.018090452261306532,3,53,-50,0.0055762081784386614,0.03650137741046832,0.6527638190954774,8.137102103233929e-13,1
GT_2,770,576,194,0.7480519480519481,513,0.6662337662337663,-0.08181818181818179,-0.1038961038961039,-0.06103896103896104,6,69,-63,0.030927835051546393,0.11979166666666667,0.45064935064935063,1.1641661378765454e-14,2
GT_3,242,125,117,0.5165289256198347,120,0.49586776859504134,-0.02066115702479332,-0.05785123966942149,0.01652892561983471,8,13,-5,0.06837606837606838,0.104,0.47520661157024796,0.38331031799316406,3
GT_4,160,48,112,0.3,45,0.28125,-0.01874999999999999,-0.0625,0.01875,4,7,-3,0.03571428571428571,0.14583333333333334,0.575,0.548828125,4
GT_5,56,22,34,0.39285714285714285,17,0.30357142857142855,-0.0892857142857143,-0.17857142857142858,0.0,1,6,-5,0.029411764705882353,0.2727272727272727,0.5892857142857143,0.125,5
GT_6,48,19,29,0.3958333333333333,15,0.3125,-0.08333333333333331,-0.25,0.08333333333333333,7,11,-4,0.2413793103448276,0.5789473684210527,0.8958333333333334,0.480682373046875,6
GT_7,27,5,22,0.18518518518518517,7,0.25925925925925924,0.07407407407407407,-0.07407407407407407,0.2222222222222222,3,1,2,0.13636363636363635,0.2,0.7407407407407407,0.625,7
GT_8,24,2,22,0.08333333333333333,3,0.125,0.04166666666666667,-0.08333333333333333,0.16666666666666666,2,1,1,0.09090909090909091,0.5,0.8333333333333334,1.0,8
GT_9,15,2,13,0.13333333333333333,2,0.13333333333333333,0.0,-0.2,0.2,1,1,0,0.07692307692307693,0.5,0.9333333333333333,1.0,9
GT_10,7,0,7,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8571428571428571,1.0,10
GT_11,6,0,6,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,11
GT_12,2,0,2,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,12
GT_13,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,13
GT_14,2,0,2,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,14
GT_15,2,0,2,0.0,1,0.5,0.5,0.0,1.0,1,0,1,0.5,0.0,1.0,1.0,15
