domain,score_bin,n,mean_score,mean_realized_utility,repairs,breaks,net_repairs,baseline_accuracy,post_accuracy
v2_oof,<=0,206,-0.0854715154932506,0.0,0,0,0,0.5436893203883495,0.5436893203883495
v2_oof,"(0,0.05]",260,0.02795291248402303,0.0,0,0,0,0.6923076923076923,0.6923076923076923
v2_oof,"(0.05,0.10]",201,0.07267773875708061,0.0,0,0,0,0.5671641791044776,0.5671641791044776
v2_oof,"(0.10,0.20]",156,0.14155654319910502,0.03205128205128205,7,2,5,0.42948717948717946,0.46153846153846156
v2_oof,"(0.20,0.40]",112,0.2918514545946061,0.2767857142857143,34,3,31,0.20535714285714285,0.48214285714285715
v2_oof,>0.40,65,0.9833996150742106,0.7230769230769231,50,3,47,0.1076923076923077,0.8307692307692308
v3_confirmation,<=0,467,-0.1172803731910851,0.0,0,0,0,0.563169164882227,0.563169164882227
v3_confirmation,"(0,0.05]",515,0.02879927025624823,0.0,0,0,0,0.7087378640776699,0.7087378640776699
v3_confirmation,"(0.05,0.10]",365,0.07214213851728851,0.0,0,0,0,0.5397260273972603,0.5397260273972603
v3_confirmation,"(0.10,0.20]",305,0.14150676771149037,0.03934426229508197,16,4,12,0.419672131147541,0.45901639344262296
v3_confirmation,"(0.20,0.40]",223,0.2923952397199102,0.273542600896861,64,3,61,0.15695067264573992,0.4304932735426009
v3_confirmation,>0.40,125,0.5707668159274747,0.712,93,4,89,0.088,0.8
tallyqa_natural,<=0,532,-0.08691949984574787,0.0,0,0,0,0.34962406015037595,0.34962406015037595
tallyqa_natural,"(0,0.05]",326,0.02718823921110738,0.0,0,0,0,0.6717791411042945,0.6717791411042945
tallyqa_natural,"(0.05,0.10]",531,0.07763721520362388,0.0,0,0,0,0.8361581920903954,0.8361581920903954
tallyqa_natural,"(0.10,0.20]",929,0.1412451630450841,-0.02906350914962325,7,34,-27,0.8557588805166846,0.8266953713670614
tallyqa_natural,"(0.20,0.40]",427,0.27754798892450544,-0.1288056206088993,8,63,-55,0.8149882903981265,0.6861826697892272
tallyqa_natural,>0.40,1255,379.0158550357652,-0.02948207171314741,36,73,-37,0.4796812749003984,0.450199203187251
