subset,signed_error,count,fraction_of_wrong
overall,-12,1,0.0007112375533428165
overall,-11,1,0.0007112375533428165
overall,-7,1,0.0007112375533428165
overall,-6,4,0.002844950213371266
overall,-5,5,0.0035561877667140826
overall,-4,15,0.010668563300142247
overall,-3,17,0.01209103840682788
overall,-2,63,0.04480796586059744
overall,-1,190,0.13513513513513514
overall,1,827,0.5881934566145093
overall,2,177,0.12588904694167852
overall,3,42,0.029871977240398292
overall,4,25,0.017780938833570414
overall,5,13,0.009246088193456615
overall,6,13,0.009246088193456615
overall,7,1,0.0007112375533428165
overall,8,3,0.0021337126600284497
overall,9,1,0.0007112375533428165
overall,10,1,0.0007112375533428165
overall,11,2,0.001422475106685633
overall,14,2,0.001422475106685633
overall,15,2,0.001422475106685633
simple,-6,1,0.00234192037470726
simple,-5,1,0.00234192037470726
simple,-4,2,0.00468384074941452
simple,-3,9,0.02107728337236534
simple,-2,21,0.04918032786885246
simple,-1,96,0.22482435597189696
simple,1,216,0.5058548009367682
simple,2,50,0.117096018735363
simple,3,13,0.03044496487119438
simple,4,5,0.0117096018735363
simple,5,6,0.01405152224824356
simple,6,1,0.00234192037470726
simple,8,2,0.00468384074941452
simple,10,1,0.00234192037470726
simple,11,1,0.00234192037470726
simple,14,2,0.00468384074941452
complex,-12,1,0.0010214504596527069
complex,-11,1,0.0010214504596527069
complex,-7,1,0.0010214504596527069
complex,-6,3,0.0030643513789581204
complex,-5,4,0.0040858018386108275
complex,-4,13,0.013278855975485188
complex,-3,8,0.008171603677221655
complex,-2,42,0.04290091930541369
complex,-1,94,0.09601634320735444
complex,1,611,0.6241062308478039
complex,2,127,0.12972420837589377
complex,3,29,0.0296220633299285
complex,4,20,0.020429009193054137
complex,5,7,0.007150153217568948
complex,6,12,0.012257405515832482
complex,7,1,0.0010214504596527069
complex,8,1,0.0010214504596527069
complex,9,1,0.0010214504596527069
complex,11,1,0.0010214504596527069
complex,15,2,0.0020429009193054137
