baseline_status,alpha,count,fraction_within_status,post_correct,post_accuracy
correct,0.0,734,0.28296067848882034,734,1.0
correct,1.0,849,0.3272937548188126,849,1.0
correct,1.5,197,0.07594448727833462,160,0.8121827411167513
correct,2.0,19,0.007324595219737857,6,0.3157894736842105
correct,4.0,795,0.3064764841942945,675,0.8490566037735849
undercount,0.0,15,0.050505050505050504,0,0.0
undercount,1.0,74,0.24915824915824916,0,0.0
undercount,1.5,84,0.2828282828282828,5,0.05952380952380952
undercount,2.0,7,0.02356902356902357,3,0.42857142857142855
undercount,4.0,117,0.3939393939393939,25,0.21367521367521367
overcount,0.0,33,0.029756537421100092,0,0.0
overcount,1.0,466,0.42019837691614065,0,0.0
overcount,1.5,245,0.22091974752028856,0,0.0
overcount,2.0,18,0.016230838593327322,0,0.0
overcount,4.0,347,0.3128944995491434,18,0.05187319884726225
