subset,alpha,error_direction,baseline_wrong_n,repaired,repair_rate,mean_expected_numeral_shift
overall,0.0,undercount,297,0,0.0,-0.23502936220321013
overall,0.0,overcount,1109,150,0.13525698827772767,-0.1988518834978107
overall,1.0,undercount,297,0,0.0,0.0
overall,1.0,overcount,1109,0,0.0,0.0
overall,1.5,undercount,297,15,0.050505050505050504,0.12992034082974097
overall,1.5,overcount,1109,4,0.0036068530207394047,0.08972994922522395
overall,2.0,undercount,297,44,0.14814814814814814,0.2665036203842896
overall,2.0,overcount,1109,7,0.0063119927862939585,0.1741588350328366
overall,4.0,undercount,297,84,0.2828282828282828,0.75686122367048
overall,4.0,overcount,1109,20,0.018034265103697024,0.4850341848213882
simple,0.0,undercount,130,0,0.0,-0.23885312878316667
simple,0.0,overcount,297,65,0.21885521885521886,-0.2729754374088266
simple,1.0,undercount,130,0,0.0,0.0
simple,1.0,overcount,297,0,0.0,0.0
simple,1.5,undercount,130,8,0.06153846153846154,0.13859911297412184
simple,1.5,overcount,297,0,0.0,0.11711831919664359
simple,2.0,undercount,130,27,0.2076923076923077,0.28609586521883146
simple,2.0,overcount,297,0,0.0,0.2206511801512651
simple,4.0,undercount,130,44,0.3384615384615385,0.7701319335115637
simple,4.0,overcount,297,1,0.003367003367003367,0.5729477276984344
complex,0.0,undercount,167,0,0.0,-0.23205277744036978
complex,0.0,overcount,812,85,0.10467980295566502,-0.17174018951804257
complex,1.0,undercount,167,0,0.0,0.0
complex,1.0,overcount,812,0,0.0,0.0
complex,1.5,undercount,167,7,0.041916167664670656,0.12316441041794741
complex,1.5,overcount,812,4,0.0049261083743842365,0.07971228188346087
complex,2.0,undercount,167,17,0.10179640718562874,0.25125217230949654
complex,2.0,overcount,812,7,0.008620689655172414,0.15715362998336216
complex,4.0,undercount,167,40,0.23952095808383234,0.7465307309798161
complex,4.0,overcount,812,19,0.023399014778325122,0.4528786155670992
