alpha,group,v3_mean_score,tally_mean_score,observed_score_drift,sum_feature_contributions,decomposition_residual,v3_n,tally_n
0.0,overall,-0.06144811258998655,-7.138948614584854,-7.077500501994868,-7.07750050199487,2.6645352591003757e-15,2000,4000
0.0,baseline_correct,-0.07872324342067681,-1.5841667235119377,-1.5054434800912608,-1.5054434800912617,8.881784197001252e-16,999,2594
0.0,baseline_wrong,-0.044207497505211725,-17.387244649750674,-17.34303715224546,-17.34303715224547,7.105427357601002e-15,1001,1406
1.5,overall,-0.06312836663402288,35.657235289347,35.720363655981025,35.720363655981046,-2.1316282072803006e-14,2000,4000
1.5,baseline_correct,-0.007166281183360391,9.223421288942188,9.230587570125548,9.23058757012555,-1.7763568394002505e-15,999,2594
1.5,baseline_wrong,-0.1189786397261426,84.4263060696102,84.54528470933634,84.54528470933643,-8.526512829121202e-14,1001,1406
2.0,overall,-0.07261567727323609,63.72274902281731,63.795364700090545,63.79536470009062,-7.815970093361102e-14,2000,4000
2.0,baseline_correct,-0.013003868268981712,11.07412192538908,11.087125793658062,11.087125793658048,1.4210854715202004e-14,999,2594
2.0,baseline_wrong,-0.13210838176399545,160.85684481992175,160.98895320168575,160.98895320168583,-8.526512829121202e-14,1001,1406
4.0,overall,-0.04698369646444864,118.11250991441007,118.15949361087452,118.1594936108747,-1.8474111129762605e-13,2000,4000
4.0,baseline_correct,-0.02897311165884304,22.01643328112544,22.045406392784283,22.045406392784276,7.105427357601002e-15,999,2594
4.0,baseline_wrong,-0.06495829608562746,295.40498700313015,295.4699452992158,295.469945299216,-2.2737367544323206e-13,1001,1406
